"","UMAP_1","UMAP_2"
"GSE96769#SRR5355645",-0.405991197966051,6.65612226106512
"GSE96769#SRR5355762",-0.138949714411946,6.64904038172494
"GSE96769#SRR5355592",-0.261299571280582,6.61757563890489
"GSE96769#SRR5355190",3.95758578554074,-1.82973096230998
"GSE96769#SRR5355243",4.31723913206941,-1.46621416731092
"GSE96769#SRR5355244",4.25950677533667,-1.51669475819072
"GSE96769#SRR5355856",0.250421089146966,1.04628576023301
"GSE96769#SRR5355199",4.04338159921028,-1.45449253214203
"GSE96769#SRR5354392",-0.259793785520845,-0.382475789770369
"GSE96769#SRR5354143",-0.427584753784096,0.417100494838536
"GSE96769#SRR5354420",2.17836369975577,-1.5585223150018
"GSE96769#SRR5355305",3.7551878309172,-1.781333957132
"GSE96769#SRR5355858",-0.481567055783439,1.47277884939608
"GSE96769#SRR5355921",-0.152979208359069,1.02655654229539
"GSE96769#SRR5355059",-1.10959727554734,0.974565247606464
"GSE96769#SRR5354051",-1.79118991489289,0.902431167102121
"GSE96769#SRR5353541",-0.204593170200499,-1.86223011856098
"GSE96769#SRR5355624",-0.231052254740755,6.54810047722573
"GSE96769#SRR5354818",-0.507022522463811,1.25927720935463
"GSE96769#SRR5355095",-0.605044696639135,1.77636541753785
"GSE96769#SRR5353441",-0.730392721893285,-2.08989818906236
"GSE96769#SRR5355560",-3.78057763941619,1.70340791496372
"GSE96769#SRR5355587",-0.43828400404183,6.59030393094608
"GSE96769#SRR5355753",-0.0928228613235702,6.63801352788408
"GSE96769#SRR5355859",0.495785009695335,1.17734178351294
"GSE96769#SRR5355875",-0.336418790087881,1.13549346790825
"GSE96769#SRR5354308",1.85556033083084,0.0155644841999141
"GSE96769#SRR5355267",4.21186615058105,-1.51590134032229
"GSE96769#SRR5354582",1.33378906115505,-1.8518145933765
"GSE96769#SRR5355871",0.412652594640652,1.14738981900831
"GSE96769#SRR5354022",0.763684642964763,-0.857787266297585
"GSE96769#SRR5355876",-0.0518803438155202,1.43192386896628
"GSE96769#SRR5356134",-1.40628918753945,1.90677044378044
"GSE96769#SRR5355031",-1.67387662005314,0.806509005531808
"GSE96769#SRR5355237",4.28411653400144,-1.39236721232016
"GSE96769#SRR5355887",-3.55799898745729,1.53446076689754
"GSE96769#SRR5355958",-0.661240131299969,1.02214179404293
"GSE96769#SRR5354531",3.61113028863821,-1.78787310259525
"GSE96769#SRR5356087",-0.439412777347228,1.96283687004909
"GSE96769#SRR5354478",2.79948445101156,-1.33203928104276
"GSE96769#SRR5355666",-0.144258143246391,6.44274299198333
"GSE96769#SRR5354474",2.20314701559752,-1.38997632685444
"GSE96769#SRR5354755",1.80267632413377,-1.42611319898747
"GSE96769#SRR5355908",-0.197522270065041,0.947592971175421
"GSE96769#SRR5354507",3.01445935940362,-1.62548782233037
"GSE96769#SRR5354448",2.47316392179549,-1.25042227256973
"GSE96769#SRR5355251",4.39775294955639,-1.46092437459689
"GSE96769#SRR5355057",-0.533716101591688,1.48260628834924
"GSE96769#SRR5355481",-3.63399473421233,1.56608732302401
"GSE96769#SRR5356016",-0.192572281700879,1.707307679544
"GSE96769#SRR5355157",3.96005277435047,-2.09810782993349
"GSE96769#SRR5354388",0.832886124157517,-0.648699582553295
"GSE96769#SRR5355975",-1.31636766007377,1.32489104766385
"GSE96769#SRR5354887",0.0173439888510269,1.55924445643903
"GSE96769#SRR5353478",0.00171622298987328,-0.957948507363086
"GSE96769#SRR5354479",2.64795834279934,-1.51739112050324
"GSE96769#SRR5355968",-0.638086376170082,1.74816029984556
"GSE96769#SRR5356095",-0.771253023539792,1.98146063863002
"GSE96769#SRR5354385",2.66163180816158,-1.68234171892876
"GSE96769#SRR5355211",4.23541350779437,-1.3387228549787
"GSE96769#SRR5356129",-1.62442408558086,1.77243593283581
"GSE96769#SRR5356059",-1.02652723260921,1.33182825245917
"GSE96769#SRR5355260",4.34025327489459,-1.34141276773732
"GSE96769#SRR5355032",-0.885694306745994,1.80581084548856
"GSE96769#SRR5355084",-0.408834257787941,1.09932275728975
"GSE96769#SRR5355075",-0.283563755872267,1.87388127966533
"GSE96769#SRR5356092",-0.480790788637637,1.87015840606445
"GSE96769#SRR5355837",0.312704026695122,1.57420572230835
"GSE96769#SRR5354215",1.343659603642,-0.72541843122756
