"","UMAP_1","UMAP_2"
"GSE96769#SRR5355645",-2.45931709382076,5.28939185887148
"GSE96769#SRR5355762",-2.54676602972232,5.2470865938987
"GSE96769#SRR5355592",-2.66772815581291,5.58685881164554
"GSE96769#SRR5355190",4.01384541015261,-1.43204074601907
"GSE96769#SRR5355243",4.2751734891436,-0.771992220562992
"GSE96769#SRR5355244",4.16875099092368,-0.80414982368102
"GSE96769#SRR5355856",0.0315488486900226,1.39210596758474
"GSE96769#SRR5355199",4.15981746728229,-0.935865928946805
"GSE96769#SRR5354392",0.0243703552311092,-0.331186017915696
"GSE96769#SRR5354143",-0.537452889004967,0.758614717905018
"GSE96769#SRR5354420",2.30017583511186,-1.2681267207902
"GSE96769#SRR5355305",4.01722428133472,-1.40072318147487
"GSE96769#SRR5355858",-0.79408603239563,1.69752780239623
"GSE96769#SRR5355921",-0.457479059987237,1.49539833691278
"GSE96769#SRR5355059",-1.43465458366355,1.08406286900742
"GSE96769#SRR5354051",-1.86167634057627,1.32240043214848
"GSE96769#SRR5353541",-0.0172904474993234,-1.55259462964902
"GSE96769#SRR5355624",-2.5514381993634,5.4355177777678
"GSE96769#SRR5354818",-0.644326164480077,1.6484553816538
"GSE96769#SRR5355095",-1.02948368754763,2.02475743667483
"GSE96769#SRR5353441",0.108818096148829,-2.03428718235281
"GSE96769#SRR5355560",-3.97680115298944,2.08812151214973
"GSE96769#SRR5355587",-2.64144247585485,5.54945784736611
"GSE96769#SRR5355753",-2.66647454361998,5.30998679770445
"GSE96769#SRR5355859",0.266382169956364,1.50068808998334
"GSE96769#SRR5355875",-0.503114458629452,1.49101097748534
"GSE96769#SRR5354308",1.74822981264979,0.377103327061063
"GSE96769#SRR5355267",4.07284015927953,-1.03128985890418
"GSE96769#SRR5354582",1.52931284150805,-1.81307238463051
"GSE96769#SRR5355871",-0.0127949095295186,1.50410159197324
"GSE96769#SRR5354022",0.844947986634383,-0.586821235462528
"GSE96769#SRR5355876",-0.242800884330699,1.77464422839647
"GSE96769#SRR5356134",-1.50724749104945,2.47962875539161
"GSE96769#SRR5355031",-1.93493088287614,1.02837055461307
"GSE96769#SRR5355237",4.10909531209512,-0.832190142863075
"GSE96769#SRR5355887",-3.81121810850218,2.11036386634495
"GSE96769#SRR5355958",-0.882003708218304,1.41276127536773
"GSE96769#SRR5354531",3.63240420592717,-1.40900194508698
"GSE96769#SRR5356087",-0.731368194817019,2.4239028738733
"GSE96769#SRR5354478",2.90667618204652,-1.05376470357831
"GSE96769#SRR5355666",-2.62222246789087,5.33351386409382
"GSE96769#SRR5354474",2.34189345600903,-1.05605704149723
"GSE96769#SRR5354755",1.96262369076222,-1.05572447776356
"GSE96769#SRR5355908",-0.293034178050655,1.32501371486847
"GSE96769#SRR5354507",3.15473269443951,-1.30248286908672
"GSE96769#SRR5354448",2.46732495997474,-0.824421073136777
"GSE96769#SRR5355251",4.33053508559764,-0.810212621367634
"GSE96769#SRR5355057",-0.818744361686032,2.04790958491218
"GSE96769#SRR5355481",-3.88126035032488,2.09033548098838
"GSE96769#SRR5356016",-0.614164079387502,2.22462228191829
"GSE96769#SRR5355157",4.40082444886122,-1.35741017013625
"GSE96769#SRR5354388",0.735443551467086,-0.65087713463724
