"Run","TSSEnrichment","ReadsInTSS","ReadsInPromoter","ReadsInBlacklist","PromoterRatio","PassQC","NucleosomeRatio","nMultiFrags","nMonoFrags","nFrags","nDiFrags","DoubletScore","DoubletEnrichment","BlacklistRatio"
"SRR5355863",16.046,4003,13265,874,0.244967682363804,1,0.479508196721311,2777,18300,27075,5998,37.4272253319943,3.6,0.016140350877193
"SRR5356029",11.75,2605,10581,832,0.19587915139398,1,0.67155588562941,2542,16158,27009,8309,141.11909779047,6.8,0.015402273316302
"SRR5353992",17.471,4579,16977,787,0.315054002895001,1,0.789162627000465,5189,15059,26943,6695,0,1.5,0.0146049066547897
"SRR5353730",16.23,4639,16531,788,0.307656517531452,1,0.66786689843556,3817,16108,26866,6941,3.93216844700902,1.9,0.0146653763120673
"SRR5355707",14.976,3774,12033,654,0.22467231786101,1,0.254285714285714,478,21350,26779,4951,0,0.5,0.0122110609059338
"SRR5356036",8.605,1534,6169,501,0.115265321375187,1,5.40958083832335,13034,4175,26760,9551,323.306215343116,12.3,0.0093609865470852
"SRR5354763",21.399,5468,19085,1050,0.357182961521186,1,0.616995521123351,3378,16522,26716,6816,8.37641057222779,2.2,0.0196511453810451
"SRR5355789",14.526,3301,13159,1160,0.246487843254786,1,1.4702017397742,6141,10806,26693,9746,0,0.7,0.0217285430637246
"SRR5353893",9.033,2696,11248,968,0.210873640794901,1,0.338922636678548,1239,19919,26670,5512,9.80356609405896,2.3,0.0181477315335583
"SRR5353466",10.556,4963,18276,966,0.342876439908446,1,0.314865064877399,1081,20269,26651,5301,11.6790423073282,2.4,0.0181231473490676
"SRR5353705",15.551,4492,16641,787,0.312871324358878,1,0.685938886775707,4504,15774,26594,6316,2.8314446617132,1.8,0.014796570655035
"SRR5354804",19.362,5055,19010,794,0.357599699021821,1,0.556661786237189,2751,17075,26580,6754,323.306215343116,14.2,0.0149360421369451
"SRR3986082",11.445,3439,13912,526,0.261897590361446,1,0.354618248584689,1098,19607,26560,5855,0,1.4,0.00990210843373494
"SRR5354889",13.073,3948,13881,490,0.261471518987342,1,0.331126824131187,1069,19941,26544,5534,209.185927265847,8.5,0.00922995780590717
"SRR5355617",15.846,3961,15078,407,0.2840296876766,1,1.12633181126332,4489,12483,26543,9571,0,0.7,0.00766680480729382
"SRR5355593",11.361,3930,14499,654,0.273184610166937,1,1.28373493975904,5720,11620,26537,9197,0,0.6,0.0123224177563402
"SRR3986183",21.522,5717,18741,680,0.353430392637574,1,0.415763336359267,1974,18727,26513,5812,0,0.7,0.0128238977105571
"SRR5354034",16.287,2484,9462,782,0.179109563110472,1,1.40981662257093,5553,10961,26414,9900,0,0.8,0.0148027561141819
"SRR5354638",13.308,2285,9017,492,0.170685999848565,1,1.17256127652574,2439,12158,26414,11817,274.914207714971,10,0.00931324297720906
"SRR5356043",14.164,3841,13932,600,0.264414499905105,1,1.42811059907834,5095,10850,26345,10400,17.4367782746844,2.7,0.0113873600303663
"SRR5353524",13.931,3588,13046,794,0.247636763980107,1,0.533147081077935,1745,17181,26341,7415,8.37641057222779,2.2,0.0150715614441365
"SRR5354175",12.893,4167,15743,571,0.299148709763235,1,0.247179827471798,529,21098,26313,4686,35.2187277893649,3.5,0.0108501501159123
"SRR5353924",10.738,3606,15059,1144,0.286532460613441,1,0.298127747863459,986,20243,26278,5049,0,1,0.0217672577821752
"SRR5353843",18.12,4310,15876,591,0.302273333079471,1,0.46251949209178,2701,17956,26261,5604,0.655888142044136,1.6,0.0112524275541678
"SRR5354074",16.115,4126,15784,696,0.300750733584848,1,0.454036681997008,2708,18047,26241,5486,222.320929829296,8.8,0.0132616897221905
"SRR5355286",19.998,4292,15657,527,0.298478725026689,1,0.62111378948019,2439,16179,26228,7610,0,0.8,0.0100465151746225
"SRR5354562",18.334,4583,16146,512,0.308012209080504,1,0.329242316664976,2113,19718,26210,4379,11.6790423073282,2.4,0.00976726440289966
"SRR5356050",12.828,2222,8777,456,0.167493607114232,1,3.37631534992484,10129,5987,26201,10085,2.8314446617132,1.8,0.00870195794053662
"SRR5354331",15.001,2962,12172,391,0.232600802598892,1,1.40619827110539,5637,10874,26165,9654,168.500728440054,7.5,0.00747181349130518
"SRR5353668",16.127,4634,16324,943,0.312708325351519,1,0.66726285531779,3990,15655,26101,6456,8.37641057222779,2.2,0.0180644419754032
"SRR5354079",18.322,4506,14806,901,0.284162444342085,1,0.616329569425487,3178,16118,26052,6756,71.7032149078389,4.8,0.0172923384001228
"SRR5356104",12.66,3919,12867,640,0.247280624207249,1,0.965921112286535,2779,13234,26017,10004,0,0.4,0.0122996502286966
