"","UMAP_1","UMAP_2","Cluster"
"SRR5355030",-1.42318562089233,-3.67163903323707,4
"SRR5355896",-1.28376415787963,-2.10251504985389,6
"SRR5354664",-0.340179477322383,4.23239033611717,1
"SRR3986165",-13.5654137474182,-2.58884389010963,11
"SRR5355015",-1.34897807656555,-3.3852766236454,4
"SRR5355598",-0.651084576237483,-9.76256568042335,5
"SRR5355559",5.04900332869263,-3.24498529044685,7
"SRR5355139",-2.30372503815918,6.16522734554711,10
"SRR5354249",-0.192333016979976,2.89288609417382,1
"SRR5355940",-1.1227527004364,-2.49982900229988,4
"SRR5355935",-0.969024692166133,-1.74460741190014,4
"SRR5355138",-2.45660522996215,6.06597035320702,10
"SRR5356122",0.109871413123326,-4.65650350657997,9
"SRR5355616",0.207183565509038,-8.94839436618385,5
"SRR5355086",-1.00537947236328,-2.28177846280632,4
"SRR5356035",-1.83668354569702,-3.70408827868995,4
"SRR5355212",-1.20442632256774,8.24206536205712,12
"SRR5356012",-1.61895159302978,-3.28191811648903,13
"SRR5355961",-1.11855224190979,-1.52772336138186,6
"SRR5354241",-0.244777474987788,3.81575196178856,1
"SRR5354696",-0.402413402188106,2.83963435085716,1
"SRR5354102",-0.537393723118587,-1.83008278218803,4
"SRR5355155",-1.10566261826782,6.12176506908837,10
"SRR5354558",-0.731779490101619,-1.28467146364746,4
"SRR5354845",-1.23475006638793,-3.00140733329353,4
"SRR5355897",-1.48504046021728,-1.78896946517525,6
"SRR5354151",1.69230445803376,1.49565737636986,1
"SRR5355582",0.167116786849217,-8.47397763339577,5
"SRR5356120",0.0128650325653121,-7.4661727627903,5
"SRR5354506",0.421485628497319,1.30701225193444,1
"SRR5354376",0.783344354045109,2.60726063641014,1
"SRR5354182",1.11630388678284,2.37010662945214,1
"SRR5355187",-1.45387342988281,5.87187092693749,10
"SRR5354501",0.539725508105473,0.123289040645983,1
"SRR5355670",-0.757191453564449,-9.77912718860206,5
"SRR5356123",-0.916367326367183,-5.82922942248878,13
"SRR5355613",0.127579059016423,-8.62989241687355,5
"SRR5355901",-1.43135956345825,-1.54733206016717,6
"SRR5355203",-0.887460623371883,8.36927979381981,12
"SRR5356003",-1.64461425362854,-3.18208736983833,14
"SRR5354707",-0.637286458599849,4.36310332210961,1
"SRR5354356",1.01362694383831,2.52824585827294,1
"SRR5354840",-0.818774138081355,-2.41986788121757,6
"SRR5355652",-0.472611938107295,-9.55970866290626,5
"SRR5356111",-0.37391427575378,-5.75631196109352,13
"SRR5356137",-0.316688809979244,-5.00360853282509,13
"SRR5355364",-0.654260311711116,6.89467804821434,10
"SRR5353503",3.39402767599793,2.04738252552452,2
"SRR5356089",-0.976457868206783,-4.81297261325416,13
"SRR5354259",-0.31434908925323,3.49052899273339,1
"SRR5355599",0.212644423854069,-8.75130660144386,5
"SRR5355247",-1.25652507363586,8.20202343853417,12
"SRR5353758",-5.37849882661132,2.60155957134667,3
"SRR5356142",0.0103149074432418,-7.47895152179298,5
"SRR5355108",-1.58983067094116,5.86340468319359,10
"SRR5356037",-2.60367587624816,-3.0974199256092,14
"SRR5355661",-0.413544331181331,-9.56163603869972,5
"SRR5354377",0.599573310029225,2.66524212749901,1
"SRR5354364",0.762811239373402,3.31992381008568,1
"SRR5355606",0.205839421164708,-8.69365746585426,5
"SRR5355163",-0.983487878430171,3.81372111233177,1
"SRR5356130",-0.948677096951289,-5.56912619678077,13
"SRR5355257",-1.10305002747802,8.4478110590786,12
"SRR3986211",-13.6557047706726,-2.70954269973335,11
"SRR5355667",0.265481259238438,-8.31608874408302,5
"SRR5354208",1.01914236278506,2.90912096889916,1
"SRR5354688",-0.82892588197021,0.903950146755602,1
"SRR5354347",1.19926816554041,2.43382780941429,1
"SRR5355117",0.0252284664032028,3.9186305323452,1
"SRR5355992",-1.61931327401428,-3.24321717826423,4
"SRR5354630",-0.273913179028316,4.69278042705956,1
"SRR5356028",-1.91968968926696,-3.63575942126808,4
"SRR5354720",-0.592970882046504,1.65166800411644,1
"SRR5355591",0.109237040888982,-8.59751565066871,5
"SRR5355271",-1.08731487809448,8.17096894176903,12
"SRR5354623",2.04304721535416,1.43983929546776,1
"SRR5354565",2.34845146120758,1.86775486858788,1
"SRR5355145",-2.31627396165161,5.88146965893212,10
"SRR5355249",-1.47413686333923,8.38309281261864,12
"SRR5355630",0.0649495977279708,-7.97727925387916,5
"SRR5355601",0.0219441312667892,-8.72305113879738,5
"SRR5354603",1.79315408648224,1.15696876438561,1
"SRR5354539",-0.0537217002990678,3.52926772030297,1
"SRR5354884",-0.917682443249507,-2.63691730109749,4
"SRR5355381",-0.516430650341792,6.35111277492943,10
"SRR5353947",1.25662268282147,4.33073752315941,1
"SRR5355580",0.278774287116246,-8.81175334064064,5
"SRR5355254",-1.04893711625366,7.62862389477196,12
"SRR5355162",-1.70875004349975,5.78889458568993,10
"SRR5356034",-2.4173562866333,-3.80362517444191,14
"SRR5355153",-1.36755517541198,5.7978505411953,10
"SRR5354057",-0.184025440800472,-1.90064091292915,4
"SRR3986189",-13.6393130165222,-2.58686763850746,11
"SRR5355675",-0.403811369526668,-8.87992817966041,5
"SRR3986103",2.39999696196289,-0.780728884616468,8
"SRR5354080",1.41045522273751,-1.3671847960144,9
"SRR5355986",-1.55523088990478,-2.99671096412239,4
