"","CS1","CS2","CS3","CS4","CS5","CS6","CS7","CS8","CS9","CS10","CS11","CS12","CS13","CS14","CS15","CS16","CS17","CS18","CS19","CS20","CS21","CS22","CS23","CS24","CS25","CS26","CS27","CS28","CS29","CS30"
"SRR5355810",-4.62859e-06,3.64047e-05,3.56507e-06,-1.10629e-05,-1.93497e-05,-2.40934e-05,1.58686e-05,-7.21573e-06,1.2866e-05,8.21152e-06,-9.49546e-06,8.34796e-06,4.25739e-05,-2.80823e-05,-1.85288e-05,-2.89726e-05,-2.20329e-06,1.52621e-05,-6.85605e-06,-6.59195e-06,-1.83007e-05,5.96024e-06,-3.41163e-06,6.9781e-05,3.44089e-05,3.88469e-05,4.38077e-05,4.88862e-05,4.38996e-05,1.16905e-05
"SRR5356144",-1.56061e-05,3.44412e-05,-1.95058e-05,-1.33667e-05,-7.99112e-06,-2.45102e-05,5.21302e-06,-1.06439e-05,1.40124e-05,2.3391e-05,6.21006e-07,-1.22307e-05,3.64704e-05,-2.23631e-05,-7.39658e-06,-1.98405e-05,1.17806e-06,4.39493e-05,6.37449e-06,-2.19882e-05,-1.27562e-05,6.81072e-06,4.33315e-06,7.04075e-05,2.66267e-05,4.97919e-05,5.61433e-05,4.00494e-05,2.31659e-05,3.72439e-05
"SRR5354527",-8.57227e-06,8.03037e-06,-1.28455e-06,-2.12162e-06,-4.16297e-06,-2.57838e-06,3.1524e-06,1.96841e-06,-1.00272e-06,5.6465e-06,-7.457e-06,-4.02201e-06,1.1057e-05,-7.99223e-06,-5.37415e-06,-6.01078e-06,5.39869e-06,7.92434e-06,-7.07418e-06,-1.81279e-06,1.74367e-06,1.10646e-06,-1.40333e-06,2.18629e-05,7.07753e-06,1.38127e-05,1.11126e-05,1.46122e-05,1.1649e-05,1.09192e-05
"SRR5355121",-4.27172e-06,5.386e-06,-1.50766e-06,1.17699e-06,-9.2218e-07,-1.41511e-06,1.51919e-06,-3.09621e-07,-9.75323e-07,5.25292e-07,-5.42793e-06,-4.56727e-06,7.97754e-06,-8.40295e-06,-2.41292e-06,9.37601e-07,5.65818e-06,6.12635e-06,-7.07098e-06,-7.14994e-07,2.31761e-06,-2.516e-06,3.6323e-07,1.35552e-05,6.27784e-06,1.05344e-05,7.18628e-06,1.08962e-05,5.76574e-06,7.51993e-06
"SRR5354601",-1.68385e-05,1.86708e-05,2.02632e-07,4.2585e-06,-8.86569e-06,-1.3916e-06,4.31928e-06,-6.71714e-06,3.85856e-06,5.81869e-06,-1.24811e-05,-7.5664e-06,2.61182e-05,-1.84319e-05,-9.07861e-06,-6.58183e-06,6.40321e-06,1.48092e-05,-1.29366e-05,5.27036e-06,1.12224e-06,7.68748e-06,-4.32043e-06,3.99736e-05,2.08019e-05,2.13313e-05,1.90459e-05,3.0854e-05,2.01709e-05,1.67801e-05
"SRR5355038",-8.9794e-06,1.62462e-05,-6.47082e-07,-1.45581e-06,-7.70664e-06,-5.70913e-06,2.88307e-06,-5.41753e-06,8.00284e-06,5.23611e-06,-6.47291e-06,-7.02518e-06,1.93183e-05,-1.1424e-05,-4.90775e-06,-7.66303e-06,3.50414e-06,1.00471e-05,-4.37857e-06,-3.48267e-06,1.50468e-06,6.85004e-06,-1.58109e-06,2.632e-05,1.71844e-05,1.98644e-05,1.44803e-05,1.77295e-05,1.35773e-05,8.99664e-06
"SRR5354683",-4.31598e-05,0.000129007,-1.75477e-05,-4.71323e-05,-0.000101803,5.45307e-06,0.000118251,-7.50542e-05,0.000113862,0.000128815,-0.000273593,-0.0001185,0.000337037,-0.000105962,-6.02891e-05,-7.60178e-05,6.37994e-05,0.000218973,-0.000143641,3.69282e-05,5.79151e-05,-3.93108e-05,-6.5272e-05,0.000452132,0.000343045,0.000320355,0.00030873,0.000272792,0.000152404,0.000152937
"SRR5354661",-8.05755e-06,2.40213e-05,-3.91581e-06,-4.22262e-06,-6.40345e-06,-8.79471e-06,2.81452e-06,-2.34384e-06,1.48916e-05,9.40991e-06,-1.01308e-05,-4.80729e-06,2.23264e-05,-1.68077e-05,-8.8056e-06,-1.1659e-05,5.0456e-06,1.02791e-05,-4.71369e-06,-1.28652e-06,-6.65997e-06,8.04274e-06,-2.27504e-06,3.81592e-05,2.19668e-05,2.03901e-05,2.36354e-05,1.93738e-05,1.25732e-05,1.37044e-05
"SRR3986122",-1.74859e-06,1.73111e-06,-1.02343e-06,1.64005e-07,1.03862e-07,-4.41082e-07,6.72156e-07,6.86732e-07,1.41924e-06,2.42571e-06,-2.75688e-06,-2.72831e-06,6.89013e-06,-3.05537e-06,-4.472e-07,-3.2842e-07,8.83492e-07,4.73502e-06,1.75413e-06,-1.53656e-06,-1.38492e-06,1.18775e-06,5.67194e-07,8.28898e-06,4.73534e-06,5.94561e-06,5.67006e-06,3.34287e-06,2.0709e-06,4.25665e-06
"SRR3986158",-1.03586e-07,8.54437e-08,-7.73255e-10,-5.84088e-08,-1.33361e-07,-8.11552e-08,6.3364e-08,-6.92948e-09,-1.19207e-08,2.01847e-08,-7.97186e-08,-2.31618e-07,2.44043e-07,-1.03944e-07,-8.73917e-08,-5.73841e-08,-4.83958e-09,8.44345e-08,6.50417e-08,-1.11341e-07,5.27702e-08,1.3523e-07,9.61122e-08,4.21149e-07,2.52628e-07,2.5565e-07,1.49649e-07,9.84029e-08,7.94327e-08,1.34094e-07
