,GSE96769#SRR5355219,GSE96769#SRR5355440,GSE96769#SRR5355614,GSE96769#SRR5355849,GSE96769#SRR5356042
GSE96769#SRR5355645,0.0,0.0,0.9899361831823786,0.0,0.0
GSE96769#SRR5355762,0.0,0.0,0.9845665464409706,0.011681521055293293,0.0
GSE96769#SRR5355592,0.0,0.0,0.9968018645682609,0.0,0.0
GSE96769#SRR5355190,0.8989091105082182,0.0,0.0,0.08383379023812487,0.0
GSE96769#SRR5355243,0.9745903810878748,0.0,0.0,0.02107189237544011,0.0
GSE96769#SRR5355244,0.9721631289692567,0.0,0.0,0.023084782850030707,0.0
GSE96769#SRR5355856,0.050320620323504345,0.016011255667686998,0.025628739916489847,0.8275843127539713,0.08045507133834558
GSE96769#SRR5355199,0.9564279655397576,0.0,0.0,0.03613375475183489,0.0
GSE96769#SRR5354392,0.22622861730950022,0.029728878400752917,0.0389568347631098,0.6359810616688862,0.0691046078577472
GSE96769#SRR5354143,0.1712220897568883,0.03190657340264941,0.04305084400629113,0.6793512155660949,0.07446927726807336
GSE96769#SRR5354420,0.4230717554994077,0.02044590516175993,0.026547259204804358,0.47850584451278,0.051429235621243796
GSE96769#SRR5355305,0.8600674359028782,0.0,0.0,0.11604487971124573,0.012472115606966802
GSE96769#SRR5355858,0.05199437298452342,0.0187424556251229,0.030487360790093274,0.8081761704660706,0.09059964013418861
GSE96769#SRR5355921,0.05274249823010935,0.017009981764881922,0.027235064340560784,0.8198316125286569,0.08318084313578913
GSE96769#SRR5355059,0.11664885879166095,0.04509683831119192,0.059426685325254774,0.6996514665022403,0.07917615106964918
GSE96769#SRR5354051,0.09083173351953358,0.08258696553586377,0.08514566965931027,0.6651017118258452,0.07633391945944452
GSE96769#SRR5353541,0.28587209361122246,0.02659117515605821,0.03409804341830499,0.5897806815771292,0.06365800623727949
GSE96769#SRR5355624,0.0,0.0,0.9972571641783501,0.0,0.0
GSE96769#SRR5354818,0.06520173751772268,0.019247689154065974,0.030196045027860524,0.8022178779454687,0.08313665035488027
GSE96769#SRR5355095,0.055718718755825916,0.020965466970453733,0.03427235529950938,0.7964645524536647,0.09257890652054404
GSE96769#SRR5353441,0.2799782867391508,0.027705559472331626,0.03452475794602422,0.5936711161613943,0.06412027968109449
GSE96769#SRR5355560,0.0,0.9748929219026048,0.0,0.018020580263756532,0.0
GSE96769#SRR5355587,0.0,0.0,0.997377986301783,0.0,0.0
GSE96769#SRR5355753,0.0,0.0,0.9893389282373257,0.0,0.0
GSE96769#SRR5355859,0.04242288149459064,0.013929159895779898,0.02239793507834156,0.8470759709645517,0.07417405256673489
GSE96769#SRR5355875,0.057417749319996575,0.019679891759943502,0.03150178071841529,0.8044381196483239,0.08696245855331948
GSE96769#SRR5354308,0.3477896616581774,0.02360458751859958,0.029696747449462057,0.5408551864091655,0.05805381696459721
GSE96769#SRR5355267,0.9504351361614385,0.0,0.0,0.04110357549224469,0.0
