,0
GSE96769#SRR5355645,0.06453967040114247
GSE96769#SRR5355762,0.09233437433146237
GSE96769#SRR5355592,0.024187075116742958
GSE96769#SRR5355190,0.39126617381034623
GSE96769#SRR5355243,0.13443894544812746
GSE96769#SRR5355244,0.14470716400382
GSE96769#SRR5355856,0.6698950803527252
GSE96769#SRR5355199,0.20663103015726975
GSE96769#SRR5354392,1.039658838874888
GSE96769#SRR5354143,1.0035719111315002
GSE96769#SRR5354420,1.0451206143763017
GSE96769#SRR5355305,0.49314467205786683
GSE96769#SRR5355858,0.7243589229739699
GSE96769#SRR5355921,0.692332380745595
GSE96769#SRR5355059,1.0088386661122943
GSE96769#SRR5354051,1.1012115497263073
GSE96769#SRR5353541,1.0563594284260138
GSE96769#SRR5355624,0.021165562725780865
GSE96769#SRR5354818,0.7433132354152066
GSE96769#SRR5355095,0.7590913296500508
GSE96769#SRR5353441,1.0576888978551078
GSE96769#SRR5355560,0.1399816798868617
GSE96769#SRR5355587,0.020351497838015053
GSE96769#SRR5355753,0.06775204805454701
GSE96769#SRR5355859,0.6122110449551708
GSE96769#SRR5355875,0.7377366996785117
GSE96769#SRR5354308,1.0578410154331783
GSE96769#SRR5355267,0.22851006028030812
GSE96769#SRR5354582,1.0608362043124728
GSE96769#SRR5355871,0.7530079595824458
GSE96769#SRR5354022,1.0556264716124564
GSE96769#SRR5355876,0.6617411842925854
GSE96769#SRR5356134,0.899329958452345
GSE96769#SRR5355031,1.0858231517622752
GSE96769#SRR5355237,0.11603640902427027
GSE96769#SRR5355887,0.8330080490451068
GSE96769#SRR5355958,0.8138008584667913
GSE96769#SRR5354531,0.5802695311857141
GSE96769#SRR5356087,0.7214562802562677
GSE96769#SRR5354478,1.0333254795875795
GSE96769#SRR5355666,0.02848206258839391
GSE96769#SRR5354474,1.0516022141738999
GSE96769#SRR5354755,1.056660518414488
GSE96769#SRR5355908,0.8264948765676357
GSE96769#SRR5354507,0.9726423034823494
GSE96769#SRR5354448,1.0345322340033518
GSE96769#SRR5355251,0.15368877654604554
GSE96769#SRR5355057,0.6986673004512023
GSE96769#SRR5355481,0.13980267231774043
GSE96769#SRR5356016,0.6680256497403805
GSE96769#SRR5355157,0.38550376425436766
GSE96769#SRR5354388,1.0511539079166288
GSE96769#SRR5355975,0.9640339881915883
GSE96769#SRR5354887,0.66915198075403
GSE96769#SRR5353478,1.0577716615519295
GSE96769#SRR5354479,1.0293778687937787
GSE96769#SRR5355968,0.7346450048649962
GSE96769#SRR5356095,0.7638264107674433
GSE96769#SRR5354385,1.0306954909246504
GSE96769#SRR5355211,0.19091231357596694
GSE96769#SRR5356129,1.1661691181351652
GSE96769#SRR5356059,0.8361699259032396
GSE96769#SRR5355260,0.13878813128258471
GSE96769#SRR5355032,0.7512026107524996
GSE96769#SRR5355084,0.7677430109074177
GSE96769#SRR5355075,0.715883119710417
GSE96769#SRR5356092,0.7345814240309996
GSE96769#SRR5355837,0.6761017475836739
GSE96769#SRR5354215,1.048297594273898
GSE96769#SRR5356148,0.7126584252572205
GSE96769#SRR5356149,0.7598203806388032
GSE96769#SRR5355941,0.7425687423743189
GSE96769#SRR5355807,0.750333267927749
GSE96769#SRR5355245,0.10511574142570303
GSE96769#SRR5355118,0.5933100464305412
GSE96769#SRR5354410,1.0545289465357792
GSE96769#SRR5354397,1.0022910593836438
GSE96769#SRR5354701,1.0561836647650276
GSE96769#SRR5354456,1.0560433999599406
GSE96769#SRR5355085,0.798717437856944
GSE96769#SRR5355067,0.7220931802951096
GSE96769#SRR5354717,1.0282480914178058
GSE96769#SRR5355523,0.13760753124358252
GSE96769#SRR5354824,0.694650866520324
GSE96769#SRR5355722,0.031481890373127756
GSE96769#SRR5356117,0.6790791868476784
GSE96769#SRR5353596,1.0562120400976778
GSE96769#SRR5356098,0.8134235308085683
GSE96769#SRR5354406,1.0572794466073516
GSE96769#SRR5353409,1.0562646655654997
GSE96769#SRR5354416,1.0550881376884855
GSE96769#SRR5354402,1.0572143019333622
GSE96769#SRR5354783,1.0555247030271568
GSE96769#SRR5355898,0.6464322477358618
GSE96769#SRR5354631,1.0563153553434015
GSE96769#SRR5356147,0.8661024472375237
GSE96769#SRR5355870,0.6426821157515075
GSE96769#SRR5356106,0.7424756693663278
GSE96769#SRR5353634,1.0563528861179876
GSE96769#SRR5353522,1.0495371225071675
GSE96769#SRR5353516,1.0561584140221556
GSE96769#SRR5355708,0.11231866042387115
GSE96769#SRR5354628,1.0250395805437245
GSE96769#SRR5355246,0.18326940383487111
GSE96769#SRR5356139,0.0521487864990021
GSE96769#SRR5354481,0.9823935991188636
GSE96769#SRR5355751,0.17270285881984943
GSE96769#SRR5355229,0.29123060407546164
GSE96769#SRR5355275,0.20242878936425723
GSE96769#SRR5354313,1.0578543524949149
GSE96769#SRR5353835,1.0564651330359092
GSE96769#SRR5354387,1.0520828144033236
GSE96769#SRR5355062,1.0356652714410568
GSE96769#SRR5356007,0.6810392062389299
GSE96769#SRR5355261,0.5918236047199654
GSE96769#SRR5354287,1.0489511929965278
GSE96769#SRR5355679,0.03088732449678814
GSE96769#SRR5354429,1.056999465551233
GSE96769#SRR5356126,0.6884675626082353
GSE96769#SRR5354008,0.11071340621955318
GSE96769#SRR5355923,0.9003690681982581
GSE96769#SRR5356041,0.8796922009784696
GSE96769#SRR5355866,1.2017781991706393
GSE96769#SRR5355836,0.6994606448895144
GSE96769#SRR5354088,0.9897662276813075
GSE96769#SRR5355925,0.7275549365189837
GSE96769#SRR5353593,1.058452505573736
GSE96769#SRR5355259,0.22469859819318255
GSE96769#SRR5355791,1.1483713359634282
GSE96769#SRR5355236,0.1061460880487273
GSE96769#SRR5355657,0.014728006427659528
GSE96769#SRR5355120,0.7037475641949102
GSE96769#SRR5355882,0.8281166072554705
GSE96769#SRR5353615,1.0565024599094883
