,IterativeLSI#UMAP_Dimension_1,IterativeLSI#UMAP_Dimension_2
GSE96769#SRR5355645,-12.4149492685163,-1.69241201271
GSE96769#SRR5355762,-11.984413952049,-3.07940136779728
GSE96769#SRR5355592,-11.5713842813337,-1.58442818511906
GSE96769#SRR5355190,6.4518252905047,2.20725572715816
GSE96769#SRR5355243,6.16714826184869,-0.890329354895977
GSE96769#SRR5355244,6.23730292874932,-0.721120947493938
GSE96769#SRR5355856,-4.11928209703803,-1.99127375472966
GSE96769#SRR5355199,5.87126031476617,-0.820469313754467
GSE96769#SRR5354392,1.80972483712792,3.19977629791317
GSE96769#SRR5354143,0.324585999879838,-1.85773085941258
GSE96769#SRR5354420,2.67451181966424,2.60870445381221
GSE96769#SRR5355305,5.48390594083429,1.32876396785793
GSE96769#SRR5355858,-4.00536474626899,-2.07449185241642
GSE96769#SRR5355921,-2.70062384050727,-2.22295796264592
GSE96769#SRR5355059,0.264670908037425,-0.960681670798687
GSE96769#SRR5354051,-0.62007668655753,-2.25214039672795
GSE96769#SRR5353541,0.594124435964824,4.74133289466915
GSE96769#SRR5355624,-11.4373119775617,-2.0942994295496
GSE96769#SRR5354818,-3.21893534105658,-0.260239297046093
GSE96769#SRR5355095,-3.02997812670112,-0.266990268124966
GSE96769#SRR5353441,1.63000348168969,4.42617881904659
GSE96769#SRR5355560,-2.32822021883368,-6.72368108619633
GSE96769#SRR5355587,-12.0826996270978,-1.72778939594212
GSE96769#SRR5355753,-11.5477446023786,-2.98382841934147
GSE96769#SRR5355859,-4.40899452608466,-2.81484162200871
GSE96769#SRR5355875,-3.63204655092597,-1.82958268512669
GSE96769#SRR5354308,0.685782163921596,0.750641650066944
GSE96769#SRR5355267,5.81699672299981,-0.746092671050457
GSE96769#SRR5354582,2.73364749509454,0.981712168560597
GSE96769#SRR5355871,-2.44070348184943,-1.37291371215763
GSE96769#SRR5354022,3.43094769078851,-1.74127804626408
GSE96769#SRR5355876,-3.57266673487067,-1.73764001716557
GSE96769#SRR5356134,-3.02922806185126,1.77846480022487
GSE96769#SRR5355031,-1.02310153883338,-3.00117742408696
GSE96769#SRR5355237,6.08764091092706,-1.25786852230015
GSE96769#SRR5355887,-2.08992108744025,-7.08827077735844
GSE96769#SRR5355958,-2.87437376421332,-1.93247472633305
GSE96769#SRR5354531,5.33122268277764,1.41578364978847
GSE96769#SRR5356087,-2.79639014643073,1.08556593071041
GSE96769#SRR5354478,3.34177818853021,1.25051308284816
GSE96769#SRR5355666,-11.4233883325422,-2.37850391258183
GSE96769#SRR5354474,3.12298217374444,1.16361404071865
GSE96769#SRR5354755,2.55755391675592,-1.21851252902928
GSE96769#SRR5355908,-2.68375739496589,-0.469406598700909
GSE96769#SRR5354507,4.37629619199395,1.42180646072445
GSE96769#SRR5354448,3.02961292821527,1.0302961529356
GSE96769#SRR5355251,6.03388658124566,-0.726274245871929
GSE96769#SRR5355057,-2.87808665674567,-0.0407138108152427
GSE96769#SRR5355481,-2.61063680094123,-6.75602018226567
GSE96769#SRR5356016,-3.98051056307197,0.180454386876198
GSE96769#SRR5355157,6.75480571347833,2.95295370231685
GSE96769#SRR5354388,2.1006015833056,2.81972277771053
GSE96769#SRR5355975,-2.21013388079047,-1.55945538867894
GSE96769#SRR5354887,-2.65894565027594,-0.424989932670025
GSE96769#SRR5353478,0.928436249080897,4.52858150611934
GSE96769#SRR5354479,3.37202563840509,1.14001238952694
GSE96769#SRR5355968,-3.0626543466413,-0.765279048575787
GSE96769#SRR5356095,-2.83601579111457,1.252336865769
GSE96769#SRR5354385,2.88313475209832,2.59640038620052
GSE96769#SRR5355211,5.57984700757623,-0.834521049155621
GSE96769#SRR5356129,-3.10821947496772,2.42205274711666
GSE96769#SRR5356059,-4.26202806871772,0.34090111266193
GSE96769#SRR5355260,5.68994012433648,-0.715670281543163
GSE96769#SRR5355032,-2.67762073915839,-0.761015051497845
GSE96769#SRR5355084,-2.44364199083686,-0.972440117492107
GSE96769#SRR5355075,-3.02453360002875,-0.486356013907818
GSE96769#SRR5356092,-2.47311624925971,0.732600695000263
GSE96769#SRR5355837,-4.58381304186225,-2.2386926351923
GSE96769#SRR5354215,1.25485572177529,2.70659149299678
GSE96769#SRR5356148,-3.25070366304755,2.79412592063961
GSE96769#SRR5356149,-3.14410552423835,2.61515057693538
GSE96769#SRR5355941,-2.81080922525763,-1.79956960071507
GSE96769#SRR5355807,-4.96420845430732,-1.1881589828867
GSE96769#SRR5355245,6.25415864545465,-1.02491628517094
GSE96769#SRR5355118,5.3421365316546,1.88029993187008
GSE96769#SRR5354410,2.44922485906243,1.30276001106319
GSE96769#SRR5354397,4.15161505300164,1.82121742378292
GSE96769#SRR5354701,1.15846160012841,5.59423387657222
GSE96769#SRR5354456,2.95985117513299,1.14014733444271
GSE96769#SRR5355085,-2.62325105112433,-1.08749758590641
GSE96769#SRR5355067,-2.84328469675422,-0.287983143224148
GSE96769#SRR5354717,3.94431582051873,1.0557689131361
GSE96769#SRR5355523,-2.14051732462287,-7.57243930686894
GSE96769#SRR5354824,-3.01090154093146,-0.274173462285427
GSE96769#SRR5355722,-11.9184740487897,-2.97060047973576
GSE96769#SRR5356117,-2.94582018297553,1.73796260963497
GSE96769#SRR5353596,1.31019517737985,4.63923872123775
GSE96769#SRR5356098,-2.47879228037238,1.46274591098842
GSE96769#SRR5354406,2.16480734902978,2.49911559234676
GSE96769#SRR5353409,1.47807982522607,4.68377197395382
GSE96769#SRR5354416,2.97524920064569,3.74251378189144
GSE96769#SRR5354402,2.15255740243554,2.43409765373287
GSE96769#SRR5354783,1.3231899436152,-1.49825739253941
GSE96769#SRR5355898,-3.00238952082038,-1.61396896232548
GSE96769#SRR5354631,3.18831172544122,-0.55775606025639
GSE96769#SRR5356147,-3.14376816194892,2.64257658134517
GSE96769#SRR5355870,-1.95723089617133,0.21345745633659
GSE96769#SRR5356106,-2.58095631044745,1.50943112979946
GSE96769#SRR5353634,1.69555190164209,5.06508529792842
GSE96769#SRR5353522,1.05669191438317,4.23703849922237
GSE96769#SRR5353516,0.540073975507022,4.8717273534399
GSE96769#SRR5355708,-12.3087423745954,-3.33872782577458
GSE96769#SRR5354628,-1.02596101206183,-0.39308046688023
GSE96769#SRR5355246,5.91999879438043,-0.786516183509258
GSE96769#SRR5356139,-12.3239210550153,-1.9991177259821
GSE96769#SRR5354481,0.608055367652179,2.73856318603572
GSE96769#SRR5355751,-11.7582786981428,-3.25208436836186
GSE96769#SRR5355229,5.87344089109063,-0.71876006711903
GSE96769#SRR5355275,6.90094771939874,-1.21738528598729
GSE96769#SRR5354313,0.569383635703326,0.801504021988483
GSE96769#SRR5353835,2.72000399190545,-3.93268930305424
GSE96769#SRR5354387,2.59967318135858,2.69231045852718
GSE96769#SRR5355062,-2.16208156984687,-1.2482153116602
GSE96769#SRR5356007,-1.83047685068488,-0.588294678820995
GSE96769#SRR5355261,5.71443715650201,-0.61955659974995
GSE96769#SRR5354287,5.88386312085748,1.43901444088039
GSE96769#SRR5355679,-11.9140556756818,-2.86535655845585
GSE96769#SRR5354429,1.53788664895654,1.8870089114767
GSE96769#SRR5356126,-2.81746372621894,1.75514746318874
GSE96769#SRR5354008,5.33062997419,-0.886650913848309
GSE96769#SRR5355923,-2.43076166551948,-1.92936097968998
GSE96769#SRR5356041,-4.43166670244574,0.380755013332935
GSE96769#SRR5355866,-4.07962545793891,-2.23781048644963
GSE96769#SRR5355836,-4.54855331819892,-2.35938417304936
GSE96769#SRR5354088,-0.589548021968602,-2.53171526779118
GSE96769#SRR5355925,-2.94630560320258,-2.1731420694727
GSE96769#SRR5353593,1.41944149095178,4.58479488502559
GSE96769#SRR5355259,6.15420117932916,-0.628999763621716
GSE96769#SRR5355791,-4.36540779512763,-0.898351305617718
GSE96769#SRR5355236,6.06510177213311,-1.11351787437382
GSE96769#SRR5355657,-11.2262028161848,-2.23061167587223
GSE96769#SRR5355120,5.72308126050592,2.33993495117244
GSE96769#SRR5355882,-3.023933023628,-1.60625302185002
GSE96769#SRR5353615,1.51568821031213,4.98110521446285
GSE96769#SRR5354513,3.05140915471673,1.34535432468471
GSE96769#SRR5355039,-2.98202452104926,-0.159371310367016
GSE96769#SRR5354081,-0.692549676116704,-2.29827391494694
GSE96769#SRR5355671,-11.4136274759138,-2.17653977264347
GSE96769#SRR5355240,5.9018060262835,-0.943451160087017
GSE96769#SRR5355947,-3.26922234934211,-1.48934161056462
GSE96769#SRR5354184,1.33431473333001,2.76232922683773
GSE96769#SRR5354909,-2.2766071264112,-0.493419700755505
GSE96769#SRR5354611,2.95404949742913,0.537966078625294
GSE96769#SRR5356055,-5.22074303072333,0.853506094322773
GSE96769#SRR5355835,-4.24904045503974,-2.01610791076603
GSE96769#SRR5355068,-2.68872866075873,-0.356401437415508
GSE96769#SRR5353550,0.446248575631381,4.53529251228389
GSE96769#SRR5355511,-2.03613409441352,-7.39730274070683
GSE96769#SRR5354508,4.23133030492425,1.67571604858455
GSE96769#SRR5355017,-2.26162633341193,-0.517146521701244
GSE96769#SRR5355126,6.39593902188897,2.64211214195308
GSE96769#SRR5355999,-3.30068311136603,0.112005696644308
GSE96769#SRR5354326,0.407747616577745,0.746463662491413
GSE96769#SRR5354330,1.06392326909661,0.489017701254459
GSE96769#SRR5354398,5.16591516095758,-0.528506451739696
GSE96769#SRR5354307,0.459596626046897,1.05380160223064
GSE96769#SRR5355280,7.22693076688409,-1.39853810657444
GSE96769#SRR5355231,6.07661452848077,-1.32064079631749
GSE96769#SRR5354503,1.72779491502404,3.72979462753353
GSE96769#SRR5356132,-2.73862680834174,1.48917294155178
GSE96769#SRR5355290,6.19619670468927,-1.21748732913914
GSE96769#SRR5353498,0.967133670631648,5.13808048378048
GSE96769#SRR5355942,-2.37326535623908,-1.80039989341679
GSE96769#SRR5355500,-2.28503117006659,-6.76857244361821
GSE96769#SRR5353509,0.816839098516704,4.81182420860347
GSE96769#SRR5354140,-0.286345214065312,-2.19381105293217
GSE96769#SRR5354285,1.26383945304513,1.44309592853603
GSE96769#SRR5356010,-3.16161140840888,0.217567621276947
GSE96769#SRR5354571,2.36202016431451,1.27522409568843
GSE96769#SRR5355111,6.26291623670221,1.97519553314266
GSE96769#SRR5355223,6.21566691953302,-0.750543171061901
GSE96769#SRR5355278,6.42538991529107,-0.925049894942669
GSE96769#SRR5355499,-1.48035761755347,-4.21523820747319
GSE96769#SRR5355695,-12.1675213281476,-3.2376054464716
GSE96769#SRR5356064,-0.361025959666966,-1.12716793407383
GSE96769#SRR5355130,5.76686063367486,1.94906259189663
GSE96769#SRR5355018,-2.33685955446601,-0.0290225236553229
GSE96769#SRR5354484,1.80638554650903,5.01291168342647
GSE96769#SRR5355985,-2.98604759615302,-0.256449454917339
GSE96769#SRR5355625,-12.3234728280866,-1.83301257480564
GSE96769#SRR5353982,2.44937148648858,-1.71306728710118
GSE96769#SRR5356085,-2.65200337808967,1.18540657173214
