,Sample,TSSEnrichment,ReadsInTSS,ReadsInPromoter,ReadsInBlacklist,PromoterRatio,PassQC,NucleosomeRatio,nMultiFrags,nMonoFrags,nFrags,nDiFrags,DoubletScore,DoubletEnrichment,BlacklistRatio,Clusters.res.0.4,Clusters.res.0.8,Clusters.res.1,Clusters.res.1.5,cell_type,donor
GSE96769#SRR5355708,GSE96769,9.591,5967,23309,1651,0.141010284331518,1,0.655085407613593,2946,49937,82650,29767,134.156295512094,9,0.00998790078644888,7,9,9,12,pDC,BM1214
GSE96769#SRR5354628,GSE96769,21.586,15970,57969,2968,0.35076604705199,1,1.40888552021689,10476,34303,82632,37853,232.25106339091,12.6,0.0179591441572272,2,4,4,10,CMP,BM1214
GSE96769#SRR5355246,GSE96769,17.003,11626,43092,1804,0.260749597608646,1,0.836897563578161,9615,44984,82631,28032,0,1.6,0.010916000048408,1,2,2,2,MEP,BM0828
GSE96769#SRR5356139,GSE96769,20.038,17284,59266,1324,0.358631456649078,1,0.514720439963336,3089,54550,82628,24989,2.12914665014533,2,0.00801181197656969,7,9,9,12,GMP-C,BM1137
GSE96769#SRR5354481,GSE96769,14.577,11528,42020,2144,0.255471789883268,1,0.192437072265398,1634,68968,82240,11638,256.783490851897,13.4,0.0130350194552529,5,7,7,7,CMP,BM1214
GSE96769#SRR5355751,GSE96769,12.202,7826,30986,2306,0.188467854753361,1,0.37092873938929,3336,59963,82205,18906,170.709637328076,10.4,0.0140259108326744,7,9,9,12,pDC,BM1214
GSE96769#SRR5355229,GSE96769,15.358,11657,42383,1477,0.257983029594731,1,0.568003512321759,5762,52387,82143,23994,0,1.2,0.00899041914709714,1,2,2,2,MEP,BM0828
GSE96769#SRR5355275,GSE96769,17.89,14130,52070,1565,0.317325857760985,1,0.515143120960295,3099,54150,82045,24796,0,0.6,0.00953744896093607,1,2,2,2,MEP,BM0828
GSE96769#SRR5354313,GSE96769,13.297,10482,40877,1480,0.249948025583642,1,1.17661307495741,13744,37568,81771,30459,109.031695862186,8,0.00904966308348926,5,3,3,3,CMP,BM1137
GSE96769#SRR5353835,GSE96769,12.535,6982,26683,1521,0.163210755529458,1,0.438876273961029,6638,56811,81744,18295,15.5134601238647,3.2,0.00930343511450382,6,8,8,5,HSC,BM0828
GSE96769#SRR5354387,GSE96769,15.148,13288,50638,1997,0.311090086990711,1,0.475810546166679,5655,55148,81388,20585,170.709637328076,10.4,0.0122683933749447,5,7,7,7,CMP,BM1077
GSE96769#SRR5355062,GSE96769,15.989,12669,45805,2834,0.282203410715166,1,0.517360007478732,6786,53485,81156,20885,119.09787921549,8.4,0.0174602001084331,2,4,4,10,GMP,BM1214
GSE96769#SRR5356007,GSE96769,17.684,8600,33151,1262,0.204633276132393,1,0.637574801876112,4491,49464,81001,27046,21.4194777108615,3.6,0.00779002728361378,2,4,4,10,GMP-B,BM1137
GSE96769#SRR5355261,GSE96769,17.544,12253,43899,2210,0.27100155567079,1,0.6756454816286,7605,48336,80994,25053,27.2595528988383,4,0.0136429859001901,1,2,2,2,MEP,BM0828
GSE96769#SRR5354287,GSE96769,10.576,7424,30847,2062,0.190460607557422,1,1.77852118716761,18173,29145,80980,33662,0,1.6,0.0127315386515189,5,1,1,1,CMP,BM1137
GSE96769#SRR5355679,GSE96769,14.42,10355,38045,2514,0.234938494219939,1,0.350952714652785,2727,59934,80968,18307,104.537117224778,7.8,0.0155246517142575,7,9,9,12,pDC,BM1214
GSE96769#SRR5354429,GSE96769,9.682,10214,39797,3030,0.246271612272429,1,0.322903875435925,2814,61077,80799,16908,37.4329236451007,4.6,0.0187502320573274,6,8,8,8,CMP,BM1077
GSE96769#SRR5356126,GSE96769,20.666,11678,41468,2208,0.256904605548465,1,1.15609638811712,11989,37432,80707,31286,109.031695862186,8,0.0136791108577942,2,4,4,10,GMP-C,BM1137
GSE96769#SRR5354008,GSE96769,9.378,9235,38472,1541,0.238609722515102,1,0.90264567746808,14782,42371,80617,23464,0,0.2,0.00955753749209224,1,2,2,2,MPP,BM0828
GSE96769#SRR5355923,GSE96769,13.603,8319,32691,2121,0.203682242990654,1,1.64982664685488,19427,30285,80250,30538,64.2573145843968,6,0.013214953271028,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5356041,GSE96769,11.635,8402,30460,4315,0.190339311379116,1,0.922559407962709,8266,41619,80015,30130,129.399176684108,8.8,0.0269636943073174,2,4,4,11,GMP-B,BM1137
GSE96769#SRR5355866,GSE96769,19.277,12860,47130,2604,0.294890565754402,1,0.234566184649611,2595,64728,79911,12588,299.356534387968,14.8,0.0162931261027894,2,4,4,6,UNK,BM0106
GSE96769#SRR5355836,GSE96769,16.009,11407,41538,2398,0.261090927376268,1,0.327907986111111,2483,59904,79547,17160,2.12914665014533,2,0.0150728500131997,2,4,4,6,UNK,BM0106
GSE96769#SRR5354088,GSE96769,19.014,14163,50800,1763,0.321071925167488,1,0.614193311432594,10188,49009,79110,19913,250.032722605085,13.2,0.0111427126785489,3,5,5,9,LMPP,BM0828
GSE96769#SRR5355925,GSE96769,16.136,11848,44499,1703,0.281878301850937,1,1.39815883818436,16842,32914,78933,29177,52.1432588810927,5.4,0.0107876300153295,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5353593,GSE96769,15.402,10920,39652,1552,0.251691612395425,1,0.425719457013575,5396,55250,78771,18125,274.998185759352,14,0.00985134122964035,4,6,6,4,HSC,BM0106
GSE96769#SRR5355259,GSE96769,14.549,11866,43498,2056,0.276455110523573,1,0.843923590765264,8184,42665,78671,27822,13.0254962562359,3,0.0130670768135654,1,2,2,2,MEP,BM0828
GSE96769#SRR5355791,GSE96769,11.076,4156,15335,988,0.097998491839317,1,1.13469933427917,4652,36652,78241,36937,94.8349274771782,7.4,0.00631382523229509,2,4,4,6,UNK,BM0106
GSE96769#SRR5355236,GSE96769,16.261,12014,43115,2525,0.275572684972133,1,0.594927418039472,5591,49048,78228,23589,3.78217612492001,2.2,0.0161387227079818,1,2,2,2,MEP,BM0828
GSE96769#SRR5355657,GSE96769,13.05,11869,44750,1744,0.28604118993135,1,0.993501363439435,10566,39239,78223,28418,44.959431197314,5,0.0111476164299503,7,9,9,12,pDC,BM1137
GSE96769#SRR5355120,GSE96769,15.114,9716,38651,1528,0.247448750944314,1,0.476267886509272,5590,52903,78099,19606,77.0681046605969,6.6,0.00978245560122409,5,1,1,1,MEP,BM1077
GSE96769#SRR5355882,GSE96769,12.691,9120,36294,1596,0.232674727219109,1,1.0736201212379,10094,37612,77993,30287,204.072890001178,11.6,0.0102316874591309,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5353615,GSE96769,13.488,7629,29588,1440,0.189700715513041,1,0.523461613596406,4765,51190,77986,22031,198.760802558071,11.4,0.00923242633293155,4,6,6,4,HSC,BM0106
GSE96769#SRR5354513,GSE96769,17.696,13244,47477,2085,0.304476367600847,1,0.158435113369588,951,67302,77965,9712,68.9833776317205,6.2,0.0133713845956519,5,7,7,7,CMP,BM1214
GSE96769#SRR5355039,GSE96769,11.642,9195,33987,1399,0.218751609082951,1,0.556388115320658,8115,49913,77684,19656,27.2595528988383,4,0.00900442819628237,2,4,4,10,GMP,BM1214
GSE96769#SRR5354081,GSE96769,17.292,14732,53706,1936,0.346052733317869,1,0.601378541799946,9493,48457,77598,19648,256.783490851897,13.4,0.0124745483131009,3,5,5,9,LMPP,BM0828
GSE96769#SRR5355671,GSE96769,15.398,12566,46867,1776,0.302539506300351,1,0.884161619110171,9076,41109,77456,27271,209.420191619733,11.8,0.0114645734352407,7,9,9,12,pDC,BM1137
GSE96769#SRR5355240,GSE96769,17.172,11230,40396,1834,0.262601573165182,1,0.727456485120719,6809,44525,76915,25581,0,0.8,0.0119222518364428,1,2,2,2,MEP,BM0828
GSE96769#SRR5355947,GSE96769,16.862,10295,39063,1793,0.254035247447487,1,0.897177120860682,9920,40526,76885,26439,0.670189197739972,1.8,0.0116602718345581,2,4,4,6,GMP-A,BM1137
GSE96769#SRR5354184,GSE96769,16.971,11707,42468,1432,0.276344044040136,1,0.227185613441083,1507,62614,76839,12718,134.156295512094,9,0.00931818477596012,5,7,7,7,CMP,BM1077
GSE96769#SRR5354909,GSE96769,8.176,5867,22835,1379,0.148634399083524,1,0.479592426372864,4699,51917,76816,20200,100.094830670205,7.6,0.00897599458446157,2,4,4,10,GMP,BM1077
GSE96769#SRR5354611,GSE96769,12.765,9876,34267,1965,0.223211610364908,1,0.212871521797526,1352,63287,76759,12120,90.5123015566949,7.2,0.0127998019776183,5,7,7,7,CMP,BM1137
GSE96769#SRR5356055,GSE96769,16.93,14004,47060,2201,0.306679700228087,1,0.488331943124285,4366,51551,76725,20808,149.679180286994,9.6,0.0143434343434343,2,4,4,11,GMP-B,BM1137
GSE96769#SRR5355835,GSE96769,16.813,11445,41860,1093,0.272827999739295,1,0.260143237294261,2544,60878,76715,13293,232.25106339091,12.6,0.0071237697973017,2,4,4,6,UNK,BM0106
GSE96769#SRR5355068,GSE96769,14.001,10252,38171,2975,0.248852582992151,1,0.396493016988656,4342,54919,76694,17433,0,1.6,0.0193952590815448,2,4,4,10,GMP,BM1214
GSE96769#SRR5353550,GSE96769,14.118,11643,44079,1715,0.287718176002924,1,0.329439941685902,2726,57619,76601,16256,68.9833776317205,6.2,0.011194370830668,4,6,6,4,HSC,BM0106
GSE96769#SRR5355511,GSE96769,14.24,9226,37248,1731,0.24328243177929,1,0.827345857303129,13525,41893,76553,21135,48.5122667096137,5.2,0.0113058926495369,8,10,10,13,CLP,BM0828
GSE96769#SRR5354508,GSE96769,13.35,8636,33608,2246,0.219614198337603,1,0.266506662252752,2803,60415,76516,13298,109.031695862186,8,0.0146766689319881,5,7,7,7,CMP,BM1214
GSE96769#SRR5355017,GSE96769,16.274,8884,30871,2736,0.201755417875722,1,0.65497101323873,5866,46228,76506,24412,48.5122667096137,5.2,0.0178809505136852,2,4,4,10,GMP,BM1214
GSE96769#SRR5355126,GSE96769,14.247,11519,45545,1869,0.299248347547274,1,0.28045969275294,2979,59431,76099,13689,0,1.6,0.0122800562425262,5,1,1,1,MEP,BM1077
GSE96769#SRR5355999,GSE96769,15.895,11960,43847,3861,0.288273658466029,1,0.770192262930031,8723,42962,76051,24366,27.2595528988383,4,0.0253842816005049,2,4,4,10,GMP-B,BM1137
GSE96769#SRR5354326,GSE96769,13.215,10965,43237,1939,0.284450204602571,1,0.97713319458897,12694,38440,76001,24867,134.156295512094,9,0.0127564110998539,5,3,3,3,CMP,BM1137
