,Sample,TSSEnrichment,ReadsInTSS,ReadsInPromoter,ReadsInBlacklist,PromoterRatio,PassQC,NucleosomeRatio,nMultiFrags,nMonoFrags,nFrags,nDiFrags,DoubletScore,DoubletEnrichment,BlacklistRatio,Clusters.res.0.4,Clusters.res.0.8,Clusters.res.1,Clusters.res.1.5,cell_type,donor
GSE96769#SRR5355638,GSE96769,7.576,4717,21321,1340,0.180267852613423,1,0.929303144982383,4785,30652,59137,23700,48.5122667096137,5.2,0.011329624431405,7,9,9,12,pDC,BM1137
GSE96769#SRR5355878,GSE96769,15.983,9516,36026,2083,0.305584772503647,1,1.36787981039608,12478,24894,58946,21574,56.5998267970962,5.6,0.0176687137379975,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5353638,GSE96769,13.87,6689,23611,1519,0.200654372397383,1,0.480721799969799,4386,39734,58835,14715,94.8349274771782,7.4,0.0129089827483641,4,6,6,4,HSC,BM0106
GSE96769#SRR5353422,GSE96769,12.655,5477,20211,1937,0.172466464143086,1,0.394829556274995,3092,42008,58594,13494,60.393509310075,5.8,0.0165289961429498,4,6,6,4,HSC,BM1077
GSE96769#SRR5355914,GSE96769,13.062,4987,18037,1348,0.154178206311758,1,1.47363301898761,14206,23647,58494,20641,15.5134601238647,3.2,0.0115225493212979,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5355798,GSE96769,12.772,7172,27015,1212,0.231170098064384,1,0.354293660910882,2009,43145,58431,13277,10.2163264670234,2.8,0.010371207064743,2,4,4,6,UNK,BM0106
GSE96769#SRR5354137,GSE96769,15.143,10377,38608,1304,0.330774503084304,1,0.759527255185721,7217,33168,58360,17975,232.25106339091,12.6,0.0111720356408499,3,5,5,9,LMPP,BM0828
GSE96769#SRR5355634,GSE96769,17.345,10721,35489,1282,0.306066303297916,1,0.72871753585592,3400,33537,57976,21039,114.492493919232,8.2,0.0110562991582724,7,9,9,12,pDC,BM1137
GSE96769#SRR5355945,GSE96769,11.848,6803,28928,942,0.250502251472116,1,1.49848550411077,13182,23110,57740,21448,44.959431197314,5,0.00815725666782127,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5354103,GSE96769,15.355,8165,30540,915,0.265131784560892,1,0.576665115387774,5628,36529,57594,15437,250.032722605085,13.2,0.0079435357849776,3,5,5,9,LMPP,BM0828
GSE96769#SRR5354672,GSE96769,15.194,9123,36496,953,0.317450376633092,1,0.975564491184658,7883,29097,57483,20503,21.4194777108615,3.6,0.00828940730302872,5,7,7,7,CMP,BM1214
GSE96769#SRR5355710,GSE96769,15.842,10352,36679,1272,0.31909766325057,1,0.241156653565413,1083,46306,57473,10084,0.670189197739972,1.8,0.0110660658048127,7,9,9,12,pDC,BM1214
GSE96769#SRR5356105,GSE96769,22.384,11089,36880,1680,0.320896561325352,1,1.37729604501076,8418,24172,57464,24874,24.2864110314365,3.8,0.0146178476959488,2,4,4,10,GMP-C,BM1137
GSE96769#SRR5354369,GSE96769,16.095,8185,30200,1615,0.263006636127706,1,0.426339063897446,3312,40252,57413,13849,123.751826365024,8.6,0.0140647588525247,5,7,7,7,CMP,BM1077
GSE96769#SRR5355270,GSE96769,14.441,6549,24994,1389,0.217702599122012,1,0.795783019458174,4792,31966,57404,20646,0,0.4,0.012098460037628,1,2,2,2,MEP,BM0828
GSE96769#SRR5355662,GSE96769,12.827,7022,27508,1328,0.239946965335566,1,1.08918613551044,5654,27437,57321,24230,56.5998267970962,5.6,0.0115838872315556,7,9,9,12,pDC,BM1137
GSE96769#SRR5355288,GSE96769,15.609,8734,31292,1297,0.273087462691777,1,0.755192696525948,4407,32642,57293,20244,0,0.4,0.0113190093030562,1,2,2,2,MEP,BM0828
GSE96769#SRR5354487,GSE96769,14.138,8075,29783,1442,0.260500306131374,1,0.220196802493116,1111,46849,57165,9205,256.783490851897,13.4,0.0126126126126126,4,7,7,7,CMP,BM1214
GSE96769#SRR5354550,GSE96769,17.889,10362,35514,905,0.310964397667373,1,0.407517870347547,5762,40570,57103,10771,165.637497344279,10.2,0.00792427718333538,5,7,7,7,CMP,BM1137
GSE96769#SRR5355814,GSE96769,13.77,7663,27997,634,0.245566178405403,1,0.299436960040119,3240,43869,57005,9896,13.0254962562359,3,0.00556091570914832,2,4,4,6,UNK,BM0106
GSE96769#SRR5355213,GSE96769,12.935,7721,29078,980,0.255137316837764,1,0.757115105917178,4871,32431,56985,19683,0,1,0.00859875405808546,1,2,2,2,MEP,BM0828
GSE96769#SRR5355956,GSE96769,14.801,8887,32032,1255,0.281609902765812,1,0.465987885036732,888,38795,56873,17190,0.670189197739972,1.8,0.0110333550190776,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5356086,GSE96769,13.289,8644,36072,1269,0.317356418918919,1,1.65880701754386,12367,21375,56832,23090,44.959431197314,5,0.0111644847972973,2,4,4,10,GMP-C,BM1137
GSE96769#SRR5355782,GSE96769,14.323,7544,28480,2852,0.251044549829875,1,0.929550634418478,9385,29397,56723,17941,154.620645379027,9.8,0.0251397140489748,2,4,4,10,UNK,BM0106
GSE96769#SRR5354502,GSE96769,18.726,9277,32334,1430,0.28627839852673,1,0.283418935502932,1600,44002,56473,10871,129.399176684108,8.8,0.0126609176066439,5,7,7,7,CMP,BM1214
GSE96769#SRR5354295,GSE96769,9.109,7121,28490,746,0.252271238068252,1,0.471299408530707,3014,38379,56467,15074,6.00148848943112,2.4,0.00660562806595002,2,7,7,6,CMP,BM1137
GSE96769#SRR5355588,GSE96769,9.801,6697,26592,1667,0.235544217687075,1,0.880534363860479,7300,30017,56448,19131,0,1,0.014765802154195,7,9,9,12,pDC,BM1137
GSE96769#SRR5355806,GSE96769,13.606,6507,25495,990,0.226662517780939,1,0.314448651428037,2771,42786,56240,10683,13.0254962562359,3,0.00880156472261735,2,4,4,6,UNK,BM0106
GSE96769#SRR5354612,GSE96769,14.163,6158,24437,1366,0.218051217988757,1,0.300236680898459,1554,43096,56035,11385,48.5122667096137,5.2,0.0121888105648256,5,7,7,7,CMP,BM1137
GSE96769#SRR5355268,GSE96769,15.164,8531,32057,1452,0.288189075479161,1,0.641423680793295,3559,33884,55618,18175,0,0.4,0.0130533280592614,1,2,2,2,MEP,BM0828
GSE96769#SRR5353464,GSE96769,8.497,5943,26825,1085,0.241218998974875,1,0.445923807047198,2809,38455,55603,14339,134.156295512094,9,0.00975666780569394,4,6,6,4,HSC,BM1077
GSE96769#SRR5355955,GSE96769,15.418,7140,28490,1291,0.256861048000289,1,1.57608695652174,11978,21528,55458,21952,10.2163264670234,2.8,0.0116394388546287,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5355594,GSE96769,13.274,7642,28502,1055,0.257275418833045,1,0.895623010848362,6445,29221,55392,19726,2.12914665014533,2,0.00952303581744656,7,9,9,12,pDC,BM1137
GSE96769#SRR5355688,GSE96769,18.776,8401,29167,1704,0.263749480042682,1,0.215791903955672,1153,45479,55293,8661,3.78217612492001,2.2,0.0154088220932125,7,9,9,12,pDC,BM1214
GSE96769#SRR5353865,GSE96769,15.471,6797,26574,1312,0.240588842414037,1,0.297413489322715,1904,42567,55227,10756,204.072890001178,11.6,0.0118782479584261,4,6,6,4,MPP,BM1077
GSE96769#SRR5355615,GSE96769,14.814,7339,26358,1162,0.239618181818182,1,0.790073230268511,7217,30725,55000,17058,0,1,0.0105636363636364,7,9,9,12,pDC,BM1137
GSE96769#SRR5354774,GSE96769,10.505,6345,25345,1614,0.230488714283116,1,0.739024544534413,8892,31616,54981,14473,8.03236603124673,2.6,0.0146777977846893,5,7,7,7,CMP,BM0828
GSE96769#SRR5354414,GSE96769,7.657,6175,24406,3972,0.222058448884522,1,0.674763051229696,6997,32813,54954,15144,318.245804609648,15.4,0.0361393165192707,5,7,7,7,CMP,BM1077
GSE96769#SRR5354443,GSE96769,14.597,6649,24826,1694,0.226547671192875,1,0.223390716055998,1395,44787,54792,8610,48.5122667096137,5.2,0.0154584610892101,4,6,6,4,CMP,BM1214
GSE96769#SRR5355110,GSE96769,13.525,7950,30077,894,0.274540409295872,1,0.318815456843626,2417,41535,54777,10825,21.4194777108615,3.6,0.00816035927487814,5,1,1,1,MEP,BM1077
GSE96769#SRR5356009,GSE96769,18.56,9804,35119,1552,0.320651181476206,1,1.00998348320793,9715,27245,54762,17802,15.5134601238647,3.2,0.0141704101384172,2,4,4,10,GMP-B,BM1137
GSE96769#SRR5354374,GSE96769,15.678,9303,35325,1220,0.322561498986431,1,0.520732079873358,4935,36007,54757,13815,100.094830670205,7.6,0.0111401282027869,5,7,7,7,CMP,BM1077
GSE96769#SRR5354791,GSE96769,16.923,9315,35128,1582,0.321044069531521,1,0.706137341732676,8430,32066,54709,14213,90.5123015566949,7.2,0.0144583158164105,6,8,8,8,CMP,BM0828
GSE96769#SRR5355072,GSE96769,15.413,9029,33976,1556,0.310714416358781,1,0.480316239779065,3455,36934,54674,14285,209.420191619733,11.8,0.0142297984416725,2,4,4,10,GMP,BM1214
GSE96769#SRR5355093,GSE96769,16.583,9354,34016,1744,0.31112574543592,1,0.320689988403556,1904,41392,54666,11370,2.12914665014533,2,0.0159514140416347,2,4,4,6,GMP,BM1214
GSE96769#SRR5353656,GSE96769,18.385,9145,33713,1085,0.308755380529353,1,0.408539731682147,4087,38760,54595,11748,81.2040385956534,6.8,0.00993680739994505,4,6,6,4,HSC,BM0106
GSE96769#SRR5354108,GSE96769,14.41,8871,33858,2147,0.310789227295258,1,0.6165899985161,6441,33695,54471,14335,204.072890001178,11.6,0.0197077343907767,3,5,5,9,LMPP,BM0828
GSE96769#SRR5356109,GSE96769,14.791,9613,37639,1144,0.346264949402024,1,1.44919111351449,11298,22191,54350,20861,60.393509310075,5.8,0.010524379024839,2,4,4,10,GMP-C,BM1137
GSE96769#SRR5355800,GSE96769,7.098,4004,18585,1498,0.171116840069975,1,0.158284276085658,511,46884,54305,6910,0,0.2,0.0137924684651505,2,4,4,6,UNK,BM0106
GSE96769#SRR5354602,GSE96769,14.55,6723,25540,1094,0.236612933110988,1,0.455658647103247,4486,37076,53970,12408,214.802147132132,12,0.0101352603298129,5,7,7,7,CMP,BM1137
GSE96769#SRR5355815,GSE96769,11.821,4925,20456,1049,0.190012632830497,1,0.340238527998406,2890,40163,53828,10775,0,0.8,0.00974399940551386,2,4,4,6,UNK,BM0106
GSE96769#SRR5353749,GSE96769,18.234,10405,36491,1337,0.339388020833333,1,0.689981452956524,9026,31811,53760,12923,182.00562819495,10.8,0.0124348958333333,6,8,8,5,HSC,BM0828
GSE96769#SRR5355809,GSE96769,16.622,8050,29540,1742,0.274898099722682,1,0.375022392834293,2788,39075,53729,11866,0,1.4,0.0162109847568352,2,4,4,6,UNK,BM0106
GSE96769#SRR5354816,GSE96769,20.186,8940,33168,1707,0.308890089217531,1,0.671200896470149,7265,32126,53689,14298,60.393509310075,5.8,0.0158971111400846,6,8,8,8,CMP,BM0828
GSE96769#SRR5355930,GSE96769,15.723,7837,29117,1184,0.271588471224699,1,1.03891065383591,7188,26291,53605,20126,44.959431197314,5,0.011043745919224,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5355531,GSE96769,16.988,9377,36864,1012,0.344105292635116,1,0.626632250227756,5380,32930,53565,15255,262.442694081536,13.6,0.00944646690936246,6,8,8,8,CLP,BM0828
GSE96769#SRR5354528,GSE96769,15.702,8794,30427,2552,0.28406184065575,1,0.151664372957165,1520,46504,53557,5533,37.4329236451007,4.6,0.0238250835558377,5,7,7,7,CMP,BM1214
GSE96769#SRR5354251,GSE96769,15.959,8688,33741,1302,0.315430783037918,1,1.00194639916155,8217,26716,53484,18551,204.072890001178,11.6,0.012171864482836,4,6,6,4,CMP,BM1137
GSE96769#SRR5354075,GSE96769,15.923,8210,30372,1248,0.284030972954775,1,0.734388685243455,7353,30827,53466,15286,232.25106339091,12.6,0.011670968465941,3,5,5,9,LMPP,BM0828
GSE96769#SRR5354292,GSE96769,12.113,5701,22065,1181,0.206759871811691,1,0.995848139143445,6460,26735,53359,20164,10.2163264670234,2.8,0.0110665492231863,5,3,3,3,CMP,BM1137
GSE96769#SRR5354104,GSE96769,16.104,8718,32364,1155,0.30489505219128,1,0.778083017856545,7526,29849,53074,15699,90.5123015566949,7.2,0.010881034027961,3,5,5,9,LMPP,BM0828
GSE96769#SRR5355770,GSE96769,14.78,7449,25602,1265,0.241660531234071,1,0.266885104754616,1440,41812,52971,9719,6.00148848943112,2.4,0.0119404957429537,7,9,9,12,pDC,BM1214
GSE96769#SRR5354124,GSE96769,16.638,8629,30918,1242,0.291905058630261,1,0.683054725735715,7767,31466,52959,13726,77.0681046605969,6.6,0.0117260522290829,3,5,5,9,LMPP,BM0828
GSE96769#SRR5353704,GSE96769,18.493,9787,34673,1302,0.327765488817046,1,0.728247018461036,9217,30605,52893,13071,165.637497344279,10.2,0.0123078668254779,6,8,8,5,HSC,BM0828
GSE96769#SRR5355741,GSE96769,13.773,7936,28156,1240,0.266175080355455,1,0.309255637794886,1849,40397,52890,10644,0,1.2,0.0117224428058234,7,9,9,12,pDC,BM1214
GSE96769#SRR5354485,GSE96769,14.625,8641,30767,1297,0.291448004092227,1,0.158411061121475,726,45565,52783,6492,34.150807410555,4.4,0.0122861527385711,5,7,7,7,CMP,BM1214
GSE96769#SRR5353883,GSE96769,7.354,3116,13908,1126,0.132052182829798,1,0.24972708718971,1369,42138,52661,9154,198.760802558071,11.4,0.0106910237177418,4,6,6,4,MPP,BM1077
GSE96769#SRR5355501,GSE96769,18.723,7933,30105,1161,0.286343402830619,1,0.825848355388837,7400,28791,52568,16377,244.441154481975,13,0.0110428397504185,8,10,10,13,CLP,BM0828
GSE96769#SRR5356027,GSE96769,21.85,8640,31108,1797,0.296103104951551,1,0.421816213290026,2703,36945,52529,12881,86.2463177297518,7,0.0171048373279522,2,4,4,10,GMP-B,BM1137
GSE96769#SRR5354280,GSE96769,13.034,5654,21383,1662,0.203659256719432,1,1.1779372718221,9556,24104,52497,18837,15.5134601238647,3.2,0.0158294759700554,5,1,1,1,CMP,BM1137
GSE96769#SRR5355025,GSE96769,15.695,6864,25590,1232,0.243770004572474,1,0.375615892651221,2664,38156,52488,11668,0,1.2,0.0117360158512422,2,4,4,10,GMP,BM1214
GSE96769#SRR5354745,GSE96769,12.757,6861,26662,1361,0.254505536464299,1,0.688969141972721,7404,31013,52380,13963,0,1.2,0.0129915998472699,5,1,1,1,CMP,BM0828
GSE96769#SRR5355041,GSE96769,12.084,7225,27903,2114,0.266519571322139,1,0.463842281879195,3655,35760,52347,12932,37.4329236451007,4.6,0.0201921791124611,2,4,4,10,GMP,BM1214
GSE96769#SRR5355495,GSE96769,9.066,3049,12363,561,0.118145677643776,1,0.704766869766381,6732,30691,52321,14898,0,0.8,0.00536113606391315,8,10,10,13,CLP,BM0828
GSE96769#SRR5354500,GSE96769,17.619,9129,31891,1366,0.305293892399004,1,0.198375550660793,1030,43584,52230,7616,56.5998267970962,5.6,0.013076775799349,5,7,7,7,CMP,BM1214
GSE96769#SRR5355303,GSE96769,8.167,3221,14683,1619,0.14060135976252,1,0.484772656183354,4247,35167,52215,12801,0,1.2,0.0155032078904529,5,1,1,1,MEP,BM4983
GSE96769#SRR5354786,GSE96769,13.002,4872,18767,1280,0.179732991112473,1,0.927134472703112,8252,27091,52208,16865,18.1269759254145,3.4,0.0122586576769844,6,8,8,5,CMP,BM0828
GSE96769#SRR5354684,GSE96769,22.363,9633,34120,1438,0.327535230196214,1,0.858753836271501,7356,28022,52086,16708,86.2463177297518,7,0.0138040932304266,5,7,7,7,CMP,BM1214
GSE96769#SRR5353941,GSE96769,14.427,7606,27781,1893,0.266924806395204,1,0.303320977759968,1900,39928,52039,10211,77.0681046605969,6.6,0.0181882818655239,4,6,6,4,MPP,BM1077
GSE96769#SRR5355953,GSE96769,15.375,8564,32018,1184,0.309562022623997,1,0.793107035123609,8121,28841,51715,14753,48.5122667096137,5.2,0.0114473556995069,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5354483,GSE96769,18.685,7794,27350,1217,0.264880779437116,1,0.212015212696028,1135,42596,51627,7896,86.2463177297518,7,0.0117864683208399,5,7,7,7,CMP,BM1214
GSE96769#SRR5355937,GSE96769,12.367,6701,26157,1823,0.25341019182329,1,1.09762640221102,9381,24604,51610,17625,165.637497344279,10.2,0.0176613059484596,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5353379,GSE96769,11.992,7134,27901,1691,0.270563022439441,1,0.350754479723357,2433,38172,51561,10956,34.150807410555,4.4,0.0163980527918388,4,6,6,4,HSC,BM1077
GSE96769#SRR5355726,GSE96769,17.923,9024,32412,1724,0.315887959768435,1,0.209120905020033,707,42430,51303,8166,64.2573145843968,6,0.0168021363273103,7,9,9,12,pDC,BM1214
GSE96769#SRR5354781,GSE96769,11.341,5538,22294,1422,0.217851000625391,1,0.630229075731991,7435,31387,51168,12346,52.1432588810927,5.4,0.0138954033771107,5,7,7,7,CMP,BM0828
GSE96769#SRR5355579,GSE96769,14.529,7968,30834,1104,0.301637612255679,1,0.60529539244323,5783,31839,51111,13489,18.1269759254145,3.4,0.0108000234783119,8,10,10,13,CLP,BM0828
GSE96769#SRR5355082,GSE96769,13.656,6255,23741,2561,0.232554266906982,1,0.481167662933086,3352,34462,51044,13230,2.12914665014533,2,0.0250862001410548,2,4,4,10,GMP,BM1214
GSE96769#SRR5353804,GSE96769,17.665,10009,37169,1178,0.364745250431779,1,0.496211898749046,6013,34054,50952,10885,109.031695862186,8,0.0115598995132674,6,8,8,5,HSC,BM0828
GSE96769#SRR5355554,GSE96769,15.108,8339,30754,1159,0.302822032730066,1,0.77152525816355,7802,28664,50779,14313,0,1.4,0.0114121979558479,8,10,10,13,CLP,BM0828
GSE96769#SRR5354113,GSE96769,19.364,7911,26798,1554,0.263874118712828,1,0.652391799544419,6079,30730,50778,13969,262.442694081536,13.6,0.0153019023986766,3,5,5,9,LMPP,BM0828
GSE96769#SRR5354250,GSE96769,11.2,6052,23728,1272,0.234027024361377,1,0.842114825581395,6066,27520,50695,17109,182.00562819495,10.8,0.0125456159384555,5,3,3,3,CMP,BM1137
GSE96769#SRR5354372,GSE96769,14.964,7874,28647,2040,0.283285866856533,1,0.383630243822346,3285,36543,50562,10734,149.679180286994,9.6,0.0201732526403228,4,6,6,4,CMP,BM1077
GSE96769#SRR5355874,GSE96769,24.014,10223,36428,1837,0.360295135798073,1,0.969571823742549,8080,25667,50553,16806,24.2864110314365,3.8,0.0181690503036417,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5354752,GSE96769,15.7,6779,26419,1044,0.261486232357424,1,0.648081691243638,7236,30652,50517,12629,149.679180286994,9.6,0.0103331551754855,6,8,8,5,CMP,BM0828
GSE96769#SRR5356140,GSE96769,16.461,6941,26731,870,0.265446565112907,1,1.45506850650934,8112,20509,50351,21730,90.5123015566949,7.2,0.00863935175071001,2,4,4,10,GMP-C,BM1137
GSE96769#SRR5353562,GSE96769,14.106,8598,31015,1383,0.30839216466143,1,0.357439801317352,2610,37044,50285,10631,44.959431197314,5,0.013751615789997,4,6,6,4,HSC,BM0106
GSE96769#SRR5353986,GSE96769,6.723,2295,10996,819,0.109341129208679,1,0.814288291538878,10479,27715,50283,12089,13.0254962562359,3,0.00814390549489887,6,8,8,5,MPP,BM0828
GSE96769#SRR5355037,GSE96769,18.104,8923,32701,2337,0.325953909333759,1,0.34601658303593,2805,37267,50162,10090,64.2573145843968,6,0.0232945257366134,2,4,4,10,GMP,BM1214
GSE96769#SRR5353449,GSE96769,14.677,8316,30067,1616,0.299902250239387,1,0.396751093649865,2670,35889,50128,11569,109.031695862186,8,0.0161187360357485,4,6,6,4,HSC,BM1077
GSE96769#SRR5354907,GSE96769,13.664,6162,24367,1045,0.243120547562509,1,0.321754497019571,1899,37914,50113,10300,24.2864110314365,3.8,0.0104264362540658,2,4,4,10,GMP,BM1077
GSE96769#SRR5354445,GSE96769,16.571,8243,29055,1956,0.290161184013422,1,0.19668722214255,681,41838,50067,7548,94.8349274771782,7.4,0.0195338246749356,5,7,7,7,CMP,BM1214
GSE96769#SRR5354533,GSE96769,13.88,6554,24548,1182,0.245195573135163,1,0.404545454545455,2914,35640,50058,11504,109.031695862186,8,0.0118063046865636,5,1,1,1,CMP,BM1137
GSE96769#SRR5354130,GSE96769,10.992,4635,19439,1274,0.19442110737718,1,0.640426579163249,7254,30475,49992,12263,90.5123015566949,7.2,0.0127420387261962,3,5,5,9,LMPP,BM0828
GSE96769#SRR5355819,GSE96769,19.074,8255,28762,1141,0.287723580488976,1,0.29159129670784,2085,38698,49982,9199,123.751826365024,8.6,0.0114141090792685,2,4,4,6,UNK,BM0106
GSE96769#SRR5355744,GSE96769,6.339,3374,14784,839,0.147931717664952,1,0.264717792963807,2011,39510,49969,8448,8.03236603124673,2.6,0.00839520502711681,7,9,9,12,pDC,BM1214
GSE96769#SRR5355563,GSE96769,17.281,10062,35923,1033,0.359719218136666,1,0.674839834971321,7458,29813,49932,12661,0,1.2,0.010344067932388,8,10,10,13,CLP,BM0828
GSE96769#SRR5353979,GSE96769,18.542,9495,34697,1187,0.348090852545196,1,0.720365895754228,8294,28970,49839,12575,0,1.6,0.011908344870483,6,8,8,5,MPP,BM0828
GSE96769#SRR5354464,GSE96769,20.451,11691,39836,909,0.400611436271848,1,0.228266508559994,1057,40479,49719,8183,68.9833776317205,6.2,0.00914137452482954,5,7,7,7,CMP,BM1214
GSE96769#SRR5355222,GSE96769,12.405,4717,18155,1021,0.182616480244629,1,0.625985411010435,4679,30571,49708,14458,2.12914665014533,2,0.0102699766637161,1,2,2,2,MEP,BM0828
GSE96769#SRR5355264,GSE96769,18.232,7642,28802,1183,0.28984602998893,1,0.732693984306887,3935,28675,49685,17075,0,0.2,0.0119050015095099,1,2,2,2,MEP,BM0828
GSE96769#SRR5355869,GSE96769,18.719,7780,29588,1065,0.297851778775494,1,0.954164535547075,9194,25417,49669,15058,24.2864110314365,3.8,0.0107209728402021,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5355366,GSE96769,6.964,3172,15365,891,0.155061055606015,1,0.680004069038012,6382,29491,49545,13672,165.637497344279,10.2,0.00899182561307902,5,7,7,7,MEP,BM4983
GSE96769#SRR5355581,GSE96769,15.698,6881,26115,1057,0.265277721344114,1,0.661782579338285,3482,29620,49222,16120,159.603794830319,10,0.0107370687903783,7,9,9,12,pDC,BM1137
GSE96769#SRR5354315,GSE96769,18.461,8866,31323,1043,0.319042962781886,1,0.948672144813624,6287,25191,49089,17611,6.00148848943112,2.4,0.0106235612866426,5,3,3,3,CMP,BM1137
GSE96769#SRR5353715,GSE96769,18.576,9118,33610,1358,0.342714387682268,1,0.804150263070753,9077,27179,49035,12779,27.2595528988383,4,0.0138472519628837,6,8,8,5,HSC,BM0828
GSE96769#SRR5356033,GSE96769,12.055,5771,21567,1873,0.220255724177373,1,0.599026716310667,3758,30618,48959,14583,104.537117224778,7.8,0.0191282501685083,2,4,4,11,GMP-B,BM1137
GSE96769#SRR5354461,GSE96769,13.533,6725,26595,916,0.27211615200442,1,0.264215863817457,774,38654,48867,9439,90.5123015566949,7.2,0.00937237808746189,5,7,7,7,CMP,BM1214
GSE96769#SRR5355861,GSE96769,12.722,5718,20551,2135,0.210485886353394,1,0.478079205522587,4185,33028,48818,11605,0,1.2,0.0218669343275022,2,4,4,6,UNK,BM0106
GSE96769#SRR5355689,GSE96769,15.615,8406,30870,1687,0.316187315634218,1,0.14109396914446,647,42780,48816,5389,21.4194777108615,3.6,0.017279170763684,7,9,9,12,pDC,BM1214
GSE96769#SRR5354306,GSE96769,13.634,7071,27697,616,0.28379818431461,1,1.01017507723996,7301,24275,48797,17221,10.2163264670234,2.8,0.00631186343422751,5,3,3,3,CMP,BM1137
GSE96769#SRR5355963,GSE96769,17.892,7102,26786,2173,0.2747676589459,1,1.07620224049069,8315,23477,48743,16951,94.8349274771782,7.4,0.0222903801571508,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5354746,GSE96769,17.628,8279,30064,1395,0.308627273847165,1,0.64297520661157,6097,29645,48706,12964,134.156295512094,9,0.0143206175830493,6,8,8,8,CMP,BM0828
GSE96769#SRR5354211,GSE96769,12.031,5790,22240,1389,0.22834613331143,1,0.262914937759336,1479,38560,48698,8659,149.679180286994,9.6,0.014261365969855,4,6,6,4,CMP,BM1077
GSE96769#SRR5353517,GSE96769,17.738,8671,29973,1249,0.308510200300554,1,0.372464259479008,2460,35394,48577,10723,100.094830670205,7.6,0.0128558782963131,4,6,6,4,HSC,BM0106
GSE96769#SRR5353922,GSE96769,13.57,7319,29182,1181,0.300684169311297,1,0.324254993996289,1839,36644,48526,10043,134.156295512094,9,0.0121687342867741,4,6,6,4,MPP,BM1077
GSE96769#SRR5354814,GSE96769,11.344,3844,16319,1105,0.168216303137756,1,1.02192580241767,8311,23990,48506,16205,27.2595528988383,4,0.0113903434626644,6,8,8,8,CMP,BM0828
GSE96769#SRR5355150,GSE96769,12.56,5442,22109,801,0.228167764040537,1,0.327006299643933,1932,36510,48449,10007,0.670189197739972,1.8,0.00826642448760552,5,1,1,1,MEP,BM1077
GSE96769#SRR5353812,GSE96769,16.507,8461,30904,1103,0.319243006487335,1,0.539259023692161,6601,31445,48402,10356,182.00562819495,10.8,0.0113941572662287,6,8,8,5,HSC,BM0828
GSE96769#SRR5355051,GSE96769,10.583,5061,20204,2403,0.208826873385013,1,0.442221692206786,3451,33542,48375,11382,204.072890001178,11.6,0.0248372093023256,2,4,4,10,GMP,BM1214
GSE96769#SRR5354480,GSE96769,14.562,6979,26578,1051,0.274901222564697,1,0.312757983923528,1816,36824,48341,9701,64.2573145843968,6,0.0108706894768416,5,7,7,7,CMP,BM1214
GSE96769#SRR5355298,GSE96769,9.059,3614,17226,1470,0.178289759672111,1,0.459310053165781,3635,33104,48309,11570,0,1.2,0.0152145562938583,5,1,1,1,MEP,BM4983
GSE96769#SRR5353418,GSE96769,10.93,6618,26208,1766,0.27147296457427,1,0.297929550954558,2133,37190,48270,8947,256.783490851897,13.4,0.0182929355707479,4,6,6,4,HSC,BM1077
GSE96769#SRR5354463,GSE96769,18.625,9133,32084,771,0.332814671894774,1,0.125665576833255,634,42820,48201,4747,90.5123015566949,7.2,0.00799775938258542,5,7,7,7,CMP,BM1214
GSE96769#SRR5355498,GSE96769,13.633,6382,26707,567,0.277902645106241,1,0.716536276926374,7045,27993,48051,13013,0,0.8,0.00589998126990073,8,10,10,13,CLP,BM0828
GSE96769#SRR5354129,GSE96769,16.515,8215,29599,1546,0.308644421272159,1,0.555202387130254,4852,30832,47950,12266,149.679180286994,9.6,0.0161209593326382,3,5,5,9,LMPP,BM0828
GSE96769#SRR5355656,GSE96769,22.07,10276,35045,892,0.365569974130018,1,0.394142113376574,707,34381,47932,12844,60.393509310075,5.8,0.00930484853542519,7,9,9,12,pDC,BM1137
GSE96769#SRR5354052,GSE96769,12.286,5491,21051,1365,0.220628000083845,1,0.577508101316051,6348,30242,47707,11117,292.346118292389,14.6,0.0143060766763787,3,5,5,9,LMPP,BM0828
GSE96769#SRR5353434,GSE96769,12.762,6155,23232,1292,0.244593712492893,1,0.345430335996374,2233,35298,47491,9960,52.1432588810927,5.4,0.0136025773304416,4,6,6,4,HSC,BM1077
GSE96769#SRR5353677,GSE96769,12.901,6619,24121,1222,0.253953380640542,1,0.689109403898136,7397,28116,47491,11978,90.5123015566949,7.2,0.0128655955865322,6,8,8,5,HSC,BM0828
GSE96769#SRR5354868,GSE96769,16.233,7042,24711,1398,0.260285660115022,1,0.448373710868371,3270,32774,47469,11425,2.12914665014533,2,0.0147253997345636,2,4,4,10,GMP,BM1077
