"","UMAP_1","UMAP_2"
"SRR5355030",1.77678020109813,-2.85829340884425
"SRR5355896",1.54488242973964,-1.68198215434291
"SRR5354664",-3.18817590365727,-0.890417928192396
"SRR3986165",2.03592051376979,-4.22160994479396
"SRR5355015",1.98004723896663,-2.62244259783961
"SRR5355598",5.38256098141353,-1.14753090808131
"SRR5355559",2.10558272709529,1.01227719118855
"SRR5355139",-4.01386092791875,-0.745571965667982
"SRR5354249",-2.34754990229924,-0.480251426193495
"SRR5355940",1.29393653382938,-1.20302950808742
"SRR5355935",1.36068330516498,-2.01855194041469
"SRR5355138",-3.96117519030888,-0.686751479599256
"SRR5356122",1.85423065533321,0.229894643333178
"SRR5355616",5.56867100109737,-1.23146855303981
"SRR5355086",0.96191270088236,-0.788778657409925
"SRR5356035",2.24782027115504,-1.40974008509852
"SRR5355212",-4.43206952700932,-0.684714669677992
"SRR5356012",2.63932181706111,-1.55752121875026
"SRR5355961",1.32099495639484,-0.957194203827162
"SRR5354241",-2.9173209537061,-1.00887214610316
"SRR5354696",-2.48481081614812,-0.0335878081057261
"SRR5354102",0.305847896238968,-0.347539061996717
"SRR5355155",-4.21988414416631,-0.875003690216322
"SRR5354558",-1.14822720179875,-1.31746422717311
"SRR5354845",1.60722298731487,-2.30732476184108
"SRR5355897",1.83613224138896,-2.39214789340236
"SRR5354151",-0.194575892785385,-0.505527371856947
"SRR5355582",5.44711090435664,-1.21190154025294
"SRR5356120",4.42685104717891,-1.38325368830897
"SRR5354506",-1.03339801917393,0.16902876427434
"SRR5354376",-1.38775919566472,-0.248877877685804
"SRR5354182",-1.34171866069157,-0.497491473648329
"SRR5355187",-3.92360709796269,-0.409263963196058
"SRR5354501",0.593233151337311,-0.768617743942518
"SRR5355670",5.64197517742793,-0.91503250071742
"SRR5356123",2.64979959835689,-2.124092454407
"SRR5355613",5.15759731640498,-1.56872307727077
"SRR5355901",0.988971127173111,-1.79007541606166
"SRR5355203",-4.16395496020635,-0.127459639999647
"SRR5356003",1.03471450318973,-2.56519829699733
"SRR5354707",-2.74841831813176,-0.844791526291151
"SRR5354356",-1.71787499080022,-0.999587172958631
"SRR5354840",0.944454595888212,-1.83283531138637
"SRR5355652",6.05277897228877,-1.62732469508388
"SRR5356111",2.59123672356288,-1.72647916743495
"SRR5356137",1.99096156468074,-1.22228538462855
"SRR5355364",-4.35459922442754,-1.02078091571071
"SRR5353503",-1.14003418574651,0.196737652328234
"SRR5356089",2.12069894184749,-1.9606174177859
"SRR5354259",-1.99980162272771,-0.511487597915907
"SRR5355599",5.84370256771724,-1.14758526751735
"SRR5355247",-4.52162622104009,0.0949776225354482
"SRR5353758",-0.6882748473676,1.98172665914557
"SRR5356142",4.57902933468501,-1.61807810733058
"SRR5355108",-4.40663169513066,-1.43399822184779
"SRR5356037",3.21654869427364,-1.02213823268153
"SRR5355661",5.41845299114864,-1.1132897085879
"SRR5354377",-2.09359406123479,-0.647131556961317
"SRR5354364",-2.54295252452214,-0.660347575638075
"SRR5355606",5.45387817730586,-0.971460694763441
"SRR5355163",-3.12158559451421,0.0612514071728993
"SRR5356130",2.72310484757106,-2.0081518835757
"SRR5355257",-4.50040267596562,0.156210666206102
"SRR3986211",2.06369985451381,-4.64946400592067
"SRR5355667",5.1913011204211,-1.77591740557887
"SRR5354208",-1.2467260230573,-0.960868710968275
"SRR5354688",-1.93722127566655,-0.25641285845973
"SRR5354347",-0.777991520264938,-0.16867362925746
"SRR5355117",-3.72240613589604,-1.09407865473964
"SRR5355992",1.08855648150127,-2.52433096835353
"SRR5354630",-3.49775098452885,-0.721631402466078
"SRR5356028",2.41138423790614,-1.43441712329127
"SRR5354720",-1.98264359126408,-0.394230956527967
"SRR5355591",5.60137869228999,-1.16472374865748
"SRR5355271",-4.64787934909184,-0.182091588470716
"SRR5354623",-0.973847018578842,1.03389627268575
"SRR5354565",-1.52522896418889,-0.220411414596815
"SRR5355145",-4.0376388896497,-1.40041100451686
"SRR5355249",-4.21892093310674,0.0297433190610219
"SRR5355630",4.84350420345943,-1.40924226710536
"SRR5355601",5.43016840328853,-1.70629441210963
"SRR5354603",-0.00944261441548166,-0.282069558594007
"SRR5354539",-2.62679456363042,-0.935734862777967
"SRR5354884",0.733124820491478,-1.91719662615993
"SRR5355381",-3.97716067920049,-0.834980363342543
"SRR5353947",-2.7240791190656,-0.189087028000135
"SRR5355580",6.01610781063716,-1.42192470500209
"SRR5355254",-4.067144619325,-1.03598820636012
"SRR5355162",-4.21135686526616,-0.950876826736708
"SRR5356034",2.45299209465663,-1.0475999064181
"SRR5355153",-3.84351562152226,-0.621915454361219
"SRR5354057",1.93306214918773,-2.3903573698733
"SRR3986189",2.42893077244441,-4.50401818225123
"SRR5355675",5.80646301617305,-1.25240599581935
"SRR3986103",0.9681641142575,-0.782016391250868
"SRR5354080",-0.477761494019821,0.350509648826342
"SRR5355986",1.1630791853873,-2.33666312167384
"SRR5355215",-4.46690534243901,-0.0209586567614268
"SRR5354423",-2.31933950076421,-1.63866769740321
"SRR5355296",-4.63602088580449,-0.562426204178114
"SRR5354396",-0.345002161362961,0.128547435310106
"SRR5355618",5.21114422192256,-1.40581619212367
"SRR5354367",-1.31992052684148,-0.946681375000257
"SRR5354652",-0.489628659585312,0.640208607223253
"SRR5356022",2.1289676557986,-0.0519198126528453
"SRR5354577",-2.66746734271367,-1.60970651576259
"SRR5355123",-3.99304889331181,-1.61688577601649
"SRR5354619",-2.58004854808171,-1.08177983233668
"SRR5356032",3.2338979374377,-1.08477723071315
"SRR5354373",-1.91379784236272,-1.46647774646022
"SRR5355081",1.69644613375346,-1.30611836383082
"SRR5354217",-2.44570349345525,-0.20770155856349
"SRR5356091",1.57771326412837,-2.97409331271388
"SRR5355524",2.94513441433589,1.54388830592893
"SRR5354545",-3.21900724063237,-1.2405143923495
"SRR5355047",0.034594072004959,-0.469206447098036
"SRR5355928",0.800186825892136,-1.98150407740809
"SRR5354681",-0.294408785203293,-0.321703547928114
"SRR5355115",-4.40911410937627,-1.55354105899074
"SRR5354357",-2.53122089991887,-0.616554374191542
"SRR5355647",5.86711288799922,-1.33744894931056
"SRR5355122",-4.43538449893315,-0.973058099243421
"SRR5354472",-1.89887856135686,-0.653973216507215
"SRR5355646",5.41292740215938,-1.13795577952601
"SRR5356121",1.76743389477412,0.543118005302172
"SRR5353630",-0.135989056924179,1.78298250367902
"SRR5355704",5.60774875988643,-0.891111249420423
"SRR5355604",5.26764799465816,-1.25225507685878
"SRR5355343",-4.09788488040288,-1.26233541438319
"SRR5355926",1.71498633732478,0.966030781772356
"SRR5354335",-0.768417226174667,0.352215533759813
"SRR5355892",1.42969827165286,-1.54244839617946
"SRR5354596",-1.68870590815862,-0.902977818939466
"SRR5353393",-0.734969006875351,2.506957536247
"SRR5356060",2.2556241880862,-2.33899008700587
"SRR5354432",-2.27046106944402,-0.537165517303724
"SRR5356066",2.36492229809444,-2.31136118838527
"SRR5356094",1.98393060078304,-1.62185847232081
"SRR5354516",-3.1609675754102,-0.770710343811293
"SRR5353658",-0.745839701989487,1.56601334145329
"SRR5355188",-4.17993711123784,-1.67373430201747
"SRR5355950",1.52553851713817,-0.52935683200099
"SRR3986207",2.43665422310512,-4.34480416247584
"SRR5355946",0.977461127540275,-1.85568057963588
"SRR5353964",-4.25171445498784,-0.123898143265028
"SRR5354699",0.660695744654343,1.14690107634328
"SRR5354524",-2.6938843596967,-1.29532229373195
"SRR5354457",-0.806681381562546,0.881968265083056
"SRR5354404",-0.215606557229355,-0.392573708984632
"SRR3986108",-0.274799214700058,0.131868367698412
"SRR5356052",2.85360504498164,-0.511399383041639
"SRR5355210",-4.51329301486333,-0.180593604538221
"SRR5355200",-4.31704496035893,0.129736905601244
"SRR5356113",2.26063336243312,-2.09549796054103
"SRR5355931",0.826603433093235,-1.19118725726344
"SRR5354225",-1.57917235980351,-0.227956408951063
"SRR5354395",-0.671270595887497,-1.19260823199489
"SRR5354355",-2.61419604907353,0.126228337791185
"SRR5354591",-0.13828168998082,1.96121164193414
"SRR5355558",2.5024674068896,0.925260370280962
"SRR5355571",2.73835469593684,1.34432423641942
"SRR5354059",1.35008860935847,-0.683512086365003
"SRR5354671",-2.5551338065656,-1.15996658274867
"SRR5356154",3.06953550686519,-2.18361699053981
"SRR5355973",0.47362245430629,-2.99759137103297
"SRR5355098",1.43449206461589,-2.54265105197169
"SRR5354277",-2.27453683505376,-0.977780932876844
"SRR5354375",-2.01117180476506,0.00201595356724749
"SRR5354629",-2.4730329383405,0.121540194061022
"SRR5353998",-1.21615670810063,-0.332585448715467
"SRR5354815",-1.82156585345586,-0.0707825369570445
"SRR5356018",1.47508497347514,-0.731592053863783
"SRR5353539",-0.469605909684494,1.26693565180562
"SRR5355754",5.46326185574214,-1.50455891558864
"SRR5354261",-2.31272791514714,0.135834460761767
"SRR5355225",-3.72221254000981,-0.592073792907972
"SRR5354366",-1.40489958415349,-0.654546613189955
"SRR5355962",1.41319243421237,-0.943688506576795
"SRR5355266",-4.42536471972783,-0.0400707668993663
"SRR5354657",-1.16992853770573,2.16183959474824
"SRR5356040",2.51156665196101,-0.986192817184706
"SRR5355135",-4.12911246905644,-1.02489292094447
"SRR5355610",6.02067161907832,-1.52700030276515
"SRR5355033",1.06718988527934,-1.16760432193019
"SRR5355205",-4.41621993670781,-0.201321477386732
"SRR5355091",1.29377938618343,-2.06385600039699
"SRR5356058",2.59720922817867,-0.533498639557142
"SRR5354599",0.296868694922134,1.79844473084472
"SRR5355055",1.85704226603191,-2.86976038882472
"SRR5355218",-4.22265504489262,-1.21315323779323
"SRR5354526",-1.56103275904973,-0.90738212535121
"SRR5353757",-0.782197939256027,0.99135679533742
"SRR3986206",2.117496503493,-4.38648926684596
"SRR5354886",1.60485561003368,-1.74357234904506
"SRR5354247",-3.97018550525029,-1.09321462580897
"SRR5355635",4.77668596615474,-1.51895129153468
"SRR5355285",-4.5610411037,-0.365272159073133
"SRR5354274",-4.00849221835454,-0.92993580767848
